signal_time,direction,entry,sl,tp,outcome,R,score,enh_wed,enh_mh_grey_red,enh_ema200_1h,enh_hull_4h_L49,enh_hull_1h_L160,weekday,session,hour,mh_1h_color,mh_4h_color,asvk_4h,ema200_1h,hull_4h_L49,hull_1h_L160,hull_1d_L49
2020-01-18T15:30:00+00:00,SHORT,8911.36,8948.73,8829.13,loss,-1.0,2,0,0,0,1,1,Saturday,NY,15,green,green,na,counter,aligned,aligned,na
2020-01-30T15:30:00+00:00,LONG,9367.07,9269.44,9581.85,loss,-1.0,2,0,0,1,1,0,Thursday,NY,15,green,grey_from_green,na,aligned,aligned,counter,na
2020-02-03T07:15:00+00:00,SHORT,9393.6,9415.54,9345.33,win,2.2,2,0,0,0,1,1,Monday,London,7,red,green,na,counter,aligned,aligned,na
2020-03-06T23:00:00+00:00,LONG,9098.13,9071.23,9157.31,loss,-1.0,3,0,0,1,1,1,Friday,off,23,grey_from_green,green,yellow_OB,aligned,aligned,aligned,counter
2020-03-19T03:30:00+00:00,LONG,5293.4,5265.64,5354.45,win,2.2,2,0,0,0,1,1,Thursday,Asia,3,green,green,neutral,counter,aligned,aligned,counter
2020-04-15T01:30:00+00:00,LONG,6848.31,6822.04,6906.1,win,2.2,3,1,0,0,1,1,Wednesday,Asia,1,grey_from_green,green,neutral,counter,aligned,aligned,aligned
2020-04-19T15:00:00+00:00,LONG,7098.1,7070.35,7159.14,win,2.2,2,0,0,1,1,0,Sunday,NY,15,red,green,yellow_OB,aligned,aligned,counter,aligned
2020-06-05T06:45:00+00:00,LONG,9787.05,9682.46,10017.13,loss,-1.0,3,0,0,1,1,1,Friday,Asia,6,grey_from_green,green,yellow_OB,aligned,aligned,aligned,aligned
2020-06-06T12:40:00+00:00,SHORT,9678.63,9720.6,9586.31,win,2.2,3,0,1,0,1,1,Saturday,NY,12,grey_from_red,red,neutral,counter,aligned,aligned,counter
2020-06-14T15:15:00+00:00,LONG,9370.18,9328.41,9462.07,loss,-1.0,2,0,0,0,1,1,Sunday,NY,15,red,grey_from_red,yellow_OS,counter,aligned,aligned,counter
2020-06-30T09:20:00+00:00,LONG,9142.32,9122.67,9185.55,loss,-1.0,2,0,0,0,1,1,Tuesday,London,9,red,green,neutral,counter,aligned,aligned,counter
2020-06-30T13:40:00+00:00,LONG,9124.32,9084.88,9211.08,loss,-1.0,2,0,0,0,1,1,Tuesday,NY,13,red,green,neutral,counter,aligned,aligned,counter
2020-08-05T02:00:00+00:00,LONG,11175.12,11121.61,11292.84,win,2.2,3,1,1,1,0,0,Wednesday,Asia,2,grey_from_red,red,neutral,aligned,counter,counter,aligned
2020-08-15T14:30:00+00:00,LONG,11804.62,11723.27,11983.58,loss,-1.0,3,0,0,1,1,1,Saturday,NY,14,grey_from_green,green,yellow_OB,aligned,aligned,aligned,counter
2020-08-16T01:20:00+00:00,LONG,11838.9,11793.25,11939.34,loss,-1.0,2,0,0,1,1,0,Sunday,Asia,1,green,green,yellow_OB,aligned,aligned,counter,counter
2020-08-17T02:45:00+00:00,LONG,11831.15,11789.36,11923.08,loss,-1.0,2,0,0,1,1,0,Monday,Asia,2,green,grey_from_green,neutral,aligned,aligned,counter,counter
2020-09-02T09:15:00+00:00,LONG,11713.61,11676.47,11795.3,loss,-1.0,2,1,0,1,0,0,Wednesday,London,9,red,green,yellow_OB,aligned,counter,counter,counter
2020-09-06T16:20:00+00:00,LONG,10199.48,10144.78,10319.82,win,2.2,2,0,0,0,1,1,Sunday,NY,16,green,grey_from_red,yellow_OS,counter,aligned,aligned,counter
2020-09-17T11:30:00+00:00,LONG,10834.55,10797.68,10915.67,loss,-1.0,2,0,0,1,1,0,Thursday,London,11,red,grey_from_green,red,aligned,aligned,counter,aligned
2020-09-19T03:30:00+00:00,SHORT,10962.29,10975.07,10934.16,loss,-1.0,2,0,0,0,1,1,Saturday,Asia,3,green,grey_from_green,yellow_OB,counter,aligned,aligned,counter
2020-10-06T15:30:00+00:00,LONG,10679.69,10638.82,10769.62,loss,-1.0,2,0,0,1,1,0,Tuesday,NY,15,red,green,yellow_OB,aligned,aligned,counter,aligned
2020-10-15T16:45:00+00:00,SHORT,11389.16,11448.47,11258.69,loss,-1.0,2,0,0,0,1,1,Thursday,NY,16,red,red,neutral,counter,aligned,aligned,counter
2020-11-02T23:00:00+00:00,SHORT,13602.8,13672.28,13449.95,win,2.2,3,0,1,0,1,1,Monday,off,23,grey_from_red,red,yellow_OS,counter,aligned,aligned,counter
2020-11-24T02:15:00+00:00,SHORT,18443.17,18503.38,18310.7,win,2.2,2,0,0,0,1,1,Tuesday,Asia,2,red,grey_from_green,neutral,counter,aligned,aligned,counter
2020-12-15T06:15:00+00:00,LONG,19147.7,19081.5,19293.34,loss,-1.0,2,0,0,1,1,0,Tuesday,Asia,6,green,grey_from_green,yellow_OB,aligned,aligned,counter,counter
2021-01-16T10:45:00+00:00,SHORT,37580.98,37843.71,37002.97,loss,-1.0,3,0,1,0,1,1,Saturday,London,10,grey_from_red,red,green,counter,aligned,aligned,aligned
2021-02-07T16:45:00+00:00,LONG,37845.74,37519.37,38563.77,win,2.2,2,0,1,1,0,0,Sunday,NY,16,grey_from_red,grey_from_green,neutral,aligned,counter,counter,aligned
2021-04-09T07:40:00+00:00,LONG,57889.01,57730.55,58237.63,loss,-1.0,3,0,0,1,1,1,Friday,London,7,grey_from_green,grey_from_red,neutral,aligned,aligned,aligned,counter
2021-04-10T22:15:00+00:00,LONG,59179.98,58652.53,60340.37,win,2.2,3,0,0,1,1,1,Saturday,off,22,red,green,yellow_OB,aligned,aligned,aligned,counter
2021-04-21T08:45:00+00:00,LONG,55362.1,54963.69,56238.6,loss,-1.0,3,1,0,0,1,1,Wednesday,London,8,red,grey_from_red,yellow_OS,counter,aligned,aligned,counter
2021-04-28T20:30:00+00:00,SHORT,55036.92,56032.68,52846.23,win,2.2,2,1,0,0,0,1,Wednesday,off,20,green,grey_from_green,yellow_OB,counter,counter,aligned,aligned
2021-05-12T13:45:00+00:00,LONG,56297.92,55884.9,57206.56,loss,-1.0,2,1,0,0,0,1,Wednesday,NY,13,red,grey_from_red,neutral,counter,counter,aligned,aligned
