signal_time,direction,outcome,R,entry,sl,tp,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2020-03-18T07:00:00+00:00,SHORT,loss,-1.0,5259.43,5410.88,4926.24,aligned,na,na,na,aligned,aligned,aligned,na,counter,counter,counter,aligned,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,neutral,neutral,grey_from_green,aligned,green,counter,aligned,aligned,7,Wednesday,London,counter,low
2020-06-01T02:00:00+00:00,LONG,win,2.2,9508.57,9429.45,9682.64,counter,counter,counter,na,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,neutral,neutral,red,counter,grey_from_green,counter,counter,aligned,2,Monday,Asia,counter,med
2020-08-25T11:00:00+00:00,LONG,loss,-1.0,11602.0,11556.07,11703.04,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,yellow_OS,neutral,red,counter,green,aligned,counter,counter,11,Tuesday,London,aligned,med
2020-12-24T09:00:00+00:00,LONG,win,2.2,23219.38,22959.58,23790.94,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,counter,aligned,counter,counter,aligned,aligned,aligned,aligned,aligned,neutral,neutral,red,counter,green,aligned,aligned,aligned,9,Thursday,London,aligned,med
2021-03-03T15:00:00+00:00,SHORT,win,2.2,51188.31,52055.5,49280.5,aligned,aligned,aligned,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,red,yellow_OB,green,counter,green,counter,counter,aligned,15,Wednesday,NY,aligned,med
2021-04-17T20:00:00+00:00,LONG,loss,-1.0,60525.8,60058.57,61553.71,aligned,aligned,aligned,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,yellow_OS,yellow_OS,red,counter,red,counter,counter,aligned,20,Saturday,off,aligned,med
2021-08-28T20:00:00+00:00,SHORT,loss,-1.0,48750.3,49011.44,48175.79,aligned,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,counter,counter,neutral,neutral,red,aligned,green,counter,counter,counter,20,Saturday,off,counter,low
2021-08-30T18:00:00+00:00,LONG,loss,-1.0,48089.3,47689.66,48968.52,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,neutral,yellow_OS,grey_from_red,aligned,red,counter,counter,aligned,18,Monday,off,aligned,med
2021-09-13T04:00:00+00:00,SHORT,loss,-1.0,45101.78,45756.44,43661.53,aligned,aligned,aligned,counter,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,neutral,yellow_OS,red,aligned,green,counter,counter,counter,4,Monday,Asia,counter,med
2021-09-29T04:00:00+00:00,LONG,loss,-1.0,41897.98,41491.33,42792.62,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,neutral,yellow_OS,grey_from_red,aligned,red,counter,counter,counter,4,Wednesday,Asia,counter,med
