signal_time,direction,entry,sl,tp,outcome,R,score,enh_mh_4h_align,enh_hull_1h_L160,enh_atr_high,enh_ema200_15m,enh_do_counter,weekday,session,hour,mh_4h_color,mh_4h_color_align,hull_1h_L160,atr_ratio_bin,ema200_15m,do_align
2020-03-06T20:00:00+00:00,LONG,9082.95,9036.58,9184.96,win,2.2,4,1,1,0,1,1,Friday,off,20,green,aligned,aligned,med,aligned,counter
2020-03-27T06:00:00+00:00,SHORT,6723.0,6805.82,6540.79,win,2.2,3,1,1,0,0,1,Friday,Asia,6,grey_from_green,aligned,aligned,low,counter,counter
2020-10-30T06:00:00+00:00,SHORT,13400.1,13541.41,13089.23,loss,-1.0,4,1,1,0,1,1,Friday,Asia,6,grey_from_green,aligned,aligned,med,aligned,counter
2020-11-28T03:00:00+00:00,SHORT,17046.46,17159.72,16797.29,loss,-1.0,3,1,0,0,1,1,Saturday,Asia,3,red,aligned,counter,low,aligned,counter
2020-12-24T09:00:00+00:00,LONG,23219.38,22959.58,23790.94,win,2.2,3,1,1,0,1,0,Thursday,London,9,green,aligned,aligned,med,aligned,aligned
2021-02-28T04:00:00+00:00,SHORT,45220.28,46447.56,42520.27,loss,-1.0,4,1,1,0,1,1,Sunday,Asia,4,red,aligned,aligned,med,aligned,counter
2021-04-11T02:00:00+00:00,LONG,59842.63,59090.27,61497.82,win,2.2,5,1,1,1,1,1,Sunday,Asia,2,green,aligned,aligned,high,aligned,counter
2021-09-13T04:00:00+00:00,SHORT,45101.78,45756.44,43661.53,loss,-1.0,3,0,1,0,1,1,Monday,Asia,4,green,counter,aligned,med,aligned,counter
2021-12-10T16:00:00+00:00,SHORT,48126.0,49505.32,45091.5,loss,-1.0,3,1,1,0,1,0,Friday,NY,16,red,aligned,aligned,med,aligned,aligned
2022-01-24T00:00:00+00:00,LONG,35566.66,35039.96,36725.4,loss,-1.0,3,1,1,0,1,0,Monday,Asia,0,grey_from_red,aligned,aligned,low,aligned,aligned
2022-05-27T02:00:00+00:00,SHORT,29174.0,29500.99,28454.62,win,2.2,4,1,1,0,1,1,Friday,Asia,2,red,aligned,aligned,med,aligned,counter
2022-07-01T06:00:00+00:00,SHORT,19688.0,20332.67,18269.73,loss,-1.0,4,1,0,1,1,1,Friday,Asia,6,red,aligned,counter,high,aligned,counter
2022-07-13T18:00:00+00:00,LONG,19640.0,19436.74,20087.17,win,2.2,5,1,1,1,1,1,Wednesday,off,18,grey_from_red,aligned,aligned,high,aligned,counter
2022-10-21T16:00:00+00:00,LONG,19083.14,18866.6,19559.53,win,2.2,3,0,1,0,1,1,Friday,NY,16,red,counter,aligned,med,aligned,counter
2022-11-25T04:00:00+00:00,SHORT,16510.46,16587.24,16341.54,loss,-1.0,3,0,1,0,1,1,Friday,Asia,4,green,counter,aligned,low,aligned,counter
2022-12-12T00:00:00+00:00,SHORT,17088.0,17214.7,16809.25,loss,-1.0,4,1,1,1,1,0,Monday,Asia,0,grey_from_green,aligned,aligned,high,aligned,aligned
2023-06-02T06:00:00+00:00,LONG,27017.0,26692.76,27730.33,loss,-1.0,3,0,1,0,1,1,Friday,Asia,6,red,counter,aligned,med,aligned,counter
2023-06-04T10:00:00+00:00,LONG,27163.94,27047.62,27419.84,win,2.2,4,1,1,0,1,1,Sunday,London,10,green,aligned,aligned,low,aligned,counter
2023-06-12T10:00:00+00:00,LONG,25905.63,25772.4,26198.74,loss,-1.0,3,1,1,0,1,0,Monday,London,10,grey_from_red,aligned,aligned,med,aligned,aligned
2024-01-18T20:00:00+00:00,SHORT,41500.0,42628.81,39016.63,win,2.2,5,1,1,1,1,1,Thursday,off,20,red,aligned,aligned,high,aligned,counter
2024-01-19T19:00:00+00:00,LONG,41250.0,40648.83,42572.58,loss,-1.0,3,0,1,1,1,0,Friday,off,19,red,counter,aligned,high,aligned,aligned
2024-02-20T06:00:00+00:00,LONG,51818.0,51630.65,52230.16,loss,-1.0,3,1,0,0,1,1,Tuesday,Asia,6,green,aligned,counter,med,aligned,counter
2024-04-18T15:00:00+00:00,LONG,62833.34,62191.04,64246.41,loss,-1.0,3,0,1,0,1,1,Thursday,NY,15,red,counter,aligned,med,aligned,counter
2024-07-21T22:00:00+00:00,LONG,67712.99,66609.2,70141.33,loss,-1.0,5,1,1,1,1,1,Sunday,off,22,green,aligned,aligned,high,aligned,counter
2024-07-22T08:00:00+00:00,SHORT,67520.0,67989.73,66486.59,loss,-1.0,3,0,1,1,0,1,Monday,London,8,green,counter,aligned,high,counter,counter
2024-08-26T01:00:00+00:00,SHORT,64200.0,64630.24,63253.48,win,2.2,3,1,1,0,0,1,Monday,Asia,1,grey_from_green,aligned,aligned,low,counter,counter
2024-12-02T18:00:00+00:00,SHORT,96000.0,96735.44,94382.04,win,2.2,5,1,1,1,1,1,Monday,off,18,grey_from_green,aligned,aligned,high,aligned,counter
2025-04-09T08:00:00+00:00,LONG,76915.94,75642.32,79717.91,win,2.2,3,1,1,0,0,1,Wednesday,London,8,grey_from_red,aligned,aligned,med,counter,counter
2025-04-17T17:00:00+00:00,LONG,84698.41,84179.59,85839.82,loss,-1.0,3,0,1,0,1,1,Thursday,off,17,grey_from_green,counter,aligned,med,aligned,counter
2025-07-08T18:00:00+00:00,LONG,108562.95,108264.22,109220.16,win,2.2,3,0,1,0,1,1,Tuesday,off,18,red,counter,aligned,med,aligned,counter
2025-09-04T06:00:00+00:00,SHORT,111136.0,111895.43,109465.25,win,2.2,3,0,1,0,1,1,Thursday,Asia,6,green,counter,aligned,med,aligned,counter
2025-09-16T18:00:00+00:00,LONG,115905.89,115067.55,117750.24,loss,-1.0,3,0,1,0,1,1,Tuesday,off,18,red,counter,aligned,med,aligned,counter
2025-10-28T22:00:00+00:00,SHORT,113566.44,115021.39,110365.55,win,2.2,5,1,1,1,1,1,Tuesday,off,22,grey_from_green,aligned,aligned,high,aligned,counter
2025-11-12T16:00:00+00:00,SHORT,103604.57,105071.1,100378.21,win,2.2,3,1,1,0,1,0,Wednesday,NY,16,red,aligned,aligned,med,aligned,aligned
2025-11-12T18:00:00+00:00,SHORT,101961.97,105145.82,94957.49,win,2.2,4,1,1,0,1,1,Wednesday,off,18,red,aligned,aligned,med,aligned,counter
2025-12-17T17:00:00+00:00,SHORT,87136.97,88725.16,83642.95,loss,-1.0,3,0,0,1,1,1,Wednesday,off,17,grey_from_red,counter,counter,high,aligned,counter
2026-01-12T16:00:00+00:00,LONG,91131.39,90525.0,92465.45,win,2.2,5,1,1,1,1,1,Monday,NY,16,green,aligned,aligned,high,aligned,counter
2026-03-03T18:00:00+00:00,LONG,67834.93,66679.16,70377.62,win,2.2,3,1,1,0,1,0,Tuesday,off,18,green,aligned,aligned,med,aligned,aligned
