signal_time,direction,entry,sl,tp,outcome,R,score,enh_tuesday,enh_asvk_4h_OS,enh_hull_1d_L160_counter,enh_session_off,enh_hull_1h_L160,weekday,session,hour,asvk_4h,hull_1d_L160,hull_1h_L160,hull_4h_L49,mh_4h_color_align,mh_1h_mf_align,ema200_4h,ema200_1d
2020-04-30T19:20:00+00:00,LONG,8750.51,8401.0,9519.43,win,2.2,2,0,0,0,1,1,Thursday,off,19,red,na,aligned,aligned,aligned,aligned,aligned,aligned
2020-07-09T20:40:00+00:00,LONG,9221.94,9188.0,9296.61,loss,-1.0,2,0,0,1,1,0,Thursday,off,20,neutral,counter,counter,counter,counter,counter,counter,aligned
2020-07-10T10:45:00+00:00,LONG,9175.98,9157.95,9215.65,win,2.2,2,0,1,1,0,0,Friday,London,10,yellow_OS,counter,counter,counter,counter,counter,counter,aligned
2020-07-10T20:45:00+00:00,SHORT,9239.51,9255.5,9204.33,loss,-1.0,2,0,0,0,1,1,Friday,off,20,neutral,aligned,aligned,aligned,aligned,counter,aligned,counter
2020-08-11T21:30:00+00:00,LONG,11251.15,11125.0,11528.66,win,2.2,3,1,1,0,1,0,Tuesday,off,21,yellow_OS,aligned,counter,counter,counter,counter,aligned,aligned
2020-08-12T20:30:00+00:00,SHORT,11562.49,11595.0,11490.98,win,2.2,3,0,1,1,1,0,Wednesday,off,20,yellow_OS,counter,counter,aligned,aligned,aligned,counter,counter
2020-09-01T22:30:00+00:00,SHORT,11997.94,12050.0,11883.41,win,2.2,3,1,0,1,1,0,Tuesday,off,22,yellow_OB,counter,counter,counter,counter,counter,counter,counter
2020-09-21T19:00:00+00:00,LONG,10421.22,10356.54,10563.5,loss,-1.0,3,0,1,1,1,0,Monday,off,19,yellow_OS,counter,counter,counter,counter,counter,counter,aligned
2020-09-22T14:45:00+00:00,SHORT,10479.68,10520.0,10390.98,loss,-1.0,3,1,1,0,0,1,Tuesday,NY,14,yellow_OS,aligned,aligned,aligned,aligned,aligned,aligned,counter
2020-09-22T22:15:00+00:00,SHORT,10527.58,10572.71,10428.29,win,2.2,3,1,1,0,1,0,Tuesday,off,22,yellow_OS,aligned,counter,aligned,aligned,aligned,aligned,counter
2020-09-25T14:45:00+00:00,LONG,10616.06,10556.24,10747.68,win,2.2,2,0,0,1,0,1,Friday,NY,14,yellow_OB,counter,aligned,aligned,aligned,aligned,counter,aligned
