signal_time,direction,outcome,R,ob_tf,fvg_tf,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2020-01-20T09:15:00+00:00,LONG,win,1.0,1h,15m,na,na,na,na,na,na,na,na,counter,counter,counter,na,aligned,counter,counter,counter,aligned,aligned,aligned,counter,green,na,grey_from_red,aligned,red,counter,aligned,aligned,9,Monday,London,aligned,med
2020-02-04T06:00:00+00:00,LONG,win,1.0,1h,15m,na,na,na,na,aligned,na,na,na,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,aligned,aligned,counter,green,yellow_OS,grey_from_red,aligned,red,counter,counter,aligned,6,Tuesday,Asia,aligned,med
2020-02-28T20:15:00+00:00,LONG,win,1.0,2h,15m,na,na,na,na,counter,counter,counter,na,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,yellow_OS,green,grey_from_red,aligned,grey_from_red,aligned,counter,counter,20,Friday,off,aligned,med
2020-02-29T23:00:00+00:00,LONG,loss,-1.0,1h,15m,counter,na,na,na,counter,counter,counter,na,aligned,counter,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,neutral,green,red,counter,grey_from_red,aligned,counter,counter,23,Saturday,off,aligned,low
2020-04-09T00:00:00+00:00,SHORT,win,1.0,1h,15m,counter,counter,na,na,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,yellow_OB,red,green,counter,grey_from_green,aligned,counter,counter,0,Thursday,Asia,aligned,med
2020-04-18T08:45:00+00:00,SHORT,loss,-1.0,1h,15m,counter,counter,na,na,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,aligned,counter,counter,counter,yellow_OB,yellow_OB,green,counter,green,counter,counter,aligned,8,Saturday,London,aligned,low
2020-05-06T17:15:00+00:00,SHORT,loss,-1.0,1h,15m,counter,counter,counter,na,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OB,yellow_OB,green,counter,green,counter,counter,counter,17,Wednesday,off,aligned,med
2020-05-17T16:45:00+00:00,SHORT,win,1.0,2h,15m,aligned,counter,counter,na,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,red,yellow_OB,green,counter,grey_from_green,aligned,counter,counter,16,Sunday,NY,aligned,med
2020-06-15T00:30:00+00:00,LONG,loss,-1.0,1h,15m,counter,counter,counter,na,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,yellow_OS,yellow_OS,red,counter,red,counter,counter,counter,0,Monday,Asia,counter,med
2020-06-20T16:15:00+00:00,LONG,win,1.0,2h,15m,counter,counter,counter,na,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,yellow_OS,yellow_OS,red,counter,red,counter,counter,counter,16,Saturday,NY,aligned,med
2020-06-21T21:15:00+00:00,LONG,loss,-1.0,1h,15m,counter,counter,counter,na,counter,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,counter,counter,neutral,neutral,red,counter,green,aligned,counter,counter,21,Sunday,off,aligned,low
2020-06-22T13:45:00+00:00,SHORT,loss,-1.0,1h,15m,aligned,aligned,aligned,na,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,red,yellow_OB,green,counter,green,counter,counter,aligned,13,Monday,NY,aligned,med
2020-08-04T07:20:00+00:00,LONG,loss,-1.0,1h,20m,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,aligned,aligned,counter,aligned,aligned,aligned,counter,neutral,neutral,red,counter,grey_from_green,counter,aligned,aligned,7,Tuesday,London,counter,low
2020-08-27T06:15:00+00:00,LONG,win,1.0,1h,15m,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,aligned,aligned,counter,counter,neutral,green,red,counter,red,counter,counter,counter,6,Thursday,Asia,aligned,low
2020-09-08T14:15:00+00:00,LONG,loss,-1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,yellow_OS,yellow_OS,red,counter,grey_from_red,aligned,counter,counter,14,Tuesday,NY,aligned,med
2020-10-15T16:45:00+00:00,SHORT,loss,-1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,neutral,neutral,red,aligned,red,aligned,aligned,counter,16,Thursday,NY,counter,med
2020-10-16T21:00:00+00:00,LONG,loss,-1.0,1h,15m,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,yellow_OS,yellow_OS,grey_from_red,aligned,grey_from_red,aligned,counter,aligned,21,Friday,off,aligned,med
2020-10-17T01:15:00+00:00,LONG,win,1.0,1h,15m,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,yellow_OS,yellow_OS,red,counter,red,counter,counter,aligned,1,Saturday,Asia,aligned,med
2020-12-21T06:15:00+00:00,SHORT,win,1.0,2h,15m,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,neutral,yellow_OB,grey_from_green,aligned,grey_from_green,aligned,counter,counter,6,Monday,Asia,aligned,med
