signal_time,direction,sl_variant,fvg_b,fvg_t,ob_b,ob_t,poi_b,poi_t,entry,sl,tp,risk_pct,outcome,R,fill_time
2020-01-20T09:15:00+00:00,LONG,ob_full,8648.33,8650.0,8632.76,8667.64,8524.2,8681.44,8649.67,8632.76,8666.57,0.195,no_entry,0.0,2020-01-20T09:30:00
2020-01-20T09:15:00+00:00,LONG,ob_inside_15,8648.33,8650.0,8632.76,8667.64,8524.2,8681.44,8649.67,8637.99,8661.34,0.135,no_entry,0.0,2020-01-20T09:30:00
2020-01-20T09:15:00+00:00,LONG,ob_inside_35,8648.33,8650.0,8632.76,8667.64,8524.2,8681.44,8649.67,8644.97,8654.36,0.054,no_entry,0.0,2020-01-20T09:30:00
2020-01-20T09:15:00+00:00,LONG,ob_inside_50,,,,,,,8649.67,8650.2,,,invalid,0.0,
2020-01-20T09:15:00+00:00,LONG,poi_extreme,8648.33,8650.0,8632.76,8667.64,8524.2,8681.44,8649.67,8524.2,8775.13,1.451,loss,-1.0,2020-01-20T13:14:00
2020-01-21T20:15:00+00:00,LONG,ob_full,8565.8,8675.02,8521.28,8615.71,8466.0,8646.67,8653.18,8521.28,8785.07,1.524,no_entry,0.0,2020-01-22T09:21:00
2020-01-21T20:15:00+00:00,LONG,ob_inside_15,8565.8,8675.02,8521.28,8615.71,8466.0,8646.67,8653.18,8535.44,8770.91,1.361,no_entry,0.0,2020-01-22T09:21:00
2020-01-21T20:15:00+00:00,LONG,ob_inside_35,8565.8,8675.02,8521.28,8615.71,8466.0,8646.67,8653.18,8554.33,8752.02,1.142,no_entry,0.0,2020-01-22T09:21:00
2020-01-21T20:15:00+00:00,LONG,ob_inside_50,8565.8,8675.02,8521.28,8615.71,8466.0,8646.67,8653.18,8568.49,8737.86,0.979,no_entry,0.0,2020-01-22T09:21:00
2020-01-21T20:15:00+00:00,LONG,poi_extreme,8565.8,8675.02,8521.28,8615.71,8466.0,8646.67,8653.18,8466.0,8840.35,2.163,loss,-1.0,2020-01-23T09:01:00
2020-01-26T17:15:00+00:00,LONG,ob_full,8511.16,8556.03,8502.0,8562.88,8488.0,8531.86,8547.06,8502.0,8592.11,0.527,no_entry,0.0,2020-01-26T19:34:00
2020-01-26T17:15:00+00:00,LONG,ob_inside_15,8511.16,8556.03,8502.0,8562.88,8488.0,8531.86,8547.06,8511.13,8582.98,0.42,no_entry,0.0,2020-01-26T19:34:00
2020-01-26T17:15:00+00:00,LONG,ob_inside_35,8511.16,8556.03,8502.0,8562.88,8488.0,8531.86,8547.06,8523.31,8570.8,0.278,no_entry,0.0,2020-01-26T19:34:00
2020-01-26T17:15:00+00:00,LONG,ob_inside_50,8511.16,8556.03,8502.0,8562.88,8488.0,8531.86,8547.06,8532.44,8561.67,0.171,no_entry,0.0,2020-01-26T19:34:00
2020-01-26T17:15:00+00:00,LONG,poi_extreme,8511.16,8556.03,8502.0,8562.88,8488.0,8531.86,8547.06,8488.0,8606.11,0.691,no_entry,0.0,2020-01-26T19:34:00
2020-01-31T05:45:00+00:00,SHORT,ob_full,9378.72,9380.0,9375.33,9412.35,9393.73,9449.24,9378.98,9412.35,9345.6,0.356,no_entry,0.0,2020-01-31T06:22:00
2020-01-31T05:45:00+00:00,SHORT,ob_inside_15,9378.72,9380.0,9375.33,9412.35,9393.73,9449.24,9378.98,9406.8,9351.15,0.297,no_entry,0.0,2020-01-31T06:22:00
2020-01-31T05:45:00+00:00,SHORT,ob_inside_35,9378.72,9380.0,9375.33,9412.35,9393.73,9449.24,9378.98,9399.39,9358.56,0.218,no_entry,0.0,2020-01-31T06:22:00
2020-01-31T05:45:00+00:00,SHORT,ob_inside_50,9378.72,9380.0,9375.33,9412.35,9393.73,9449.24,9378.98,9393.84,9364.11,0.158,no_entry,0.0,2020-01-31T06:22:00
2020-01-31T05:45:00+00:00,SHORT,poi_extreme,9378.72,9380.0,9375.33,9412.35,9393.73,9449.24,9378.98,9449.24,9308.71,0.749,win,1.0,2020-01-31T10:49:00
2020-01-31T15:20:00+00:00,LONG,ob_full,9276.03,9285.43,9220.0,9385.41,9204.44,9280.3,9283.55,9220.0,9347.1,0.685,win,1.0,2020-01-31T16:02:00
2020-01-31T15:20:00+00:00,LONG,ob_inside_15,9276.03,9285.43,9220.0,9385.41,9204.44,9280.3,9283.55,9244.81,9322.29,0.417,win,1.0,2020-01-31T15:48:00
2020-01-31T15:20:00+00:00,LONG,ob_inside_35,9276.03,9285.43,9220.0,9385.41,9204.44,9280.3,9283.55,9277.89,9289.21,0.061,no_entry,0.0,2020-01-31T15:21:00
2020-01-31T15:20:00+00:00,LONG,ob_inside_50,,,,,,,9283.55,9302.7,,,invalid,0.0,
2020-01-31T15:20:00+00:00,LONG,poi_extreme,9276.03,9285.43,9220.0,9385.41,9204.44,9280.3,9283.55,9204.44,9362.66,0.852,win,1.0,2020-01-31T16:04:00
2020-02-04T06:00:00+00:00,LONG,ob_full,9267.89,9275.0,9234.0,9270.0,9120.0,9266.79,9273.58,9234.0,9313.16,0.427,win,1.0,2020-02-04T07:27:00
2020-02-04T06:00:00+00:00,LONG,ob_inside_15,9267.89,9275.0,9234.0,9270.0,9120.0,9266.79,9273.58,9239.4,9307.76,0.369,win,1.0,2020-02-04T07:27:00
2020-02-04T06:00:00+00:00,LONG,ob_inside_35,9267.89,9275.0,9234.0,9270.0,9120.0,9266.79,9273.58,9246.6,9300.56,0.291,win,1.0,2020-02-04T07:27:00
2020-02-04T06:00:00+00:00,LONG,ob_inside_50,9267.89,9275.0,9234.0,9270.0,9120.0,9266.79,9273.58,9252.0,9295.16,0.233,no_entry,0.0,2020-02-04T06:21:00
2020-02-04T06:00:00+00:00,LONG,poi_extreme,9267.89,9275.0,9234.0,9270.0,9120.0,9266.79,9273.58,9120.0,9427.16,1.656,loss,-1.0,2020-02-04T11:26:00
2020-02-08T13:45:00+00:00,SHORT,ob_full,9810.0,9812.46,9810.64,9831.0,9809.33,9885.0,9810.49,9831.0,9789.98,0.209,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,ob_inside_15,9810.0,9812.46,9810.64,9831.0,9809.33,9885.0,9810.49,9827.95,9793.04,0.178,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,ob_inside_35,9810.0,9812.46,9810.64,9831.0,9809.33,9885.0,9810.49,9823.87,9797.11,0.136,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,ob_inside_50,9810.0,9812.46,9810.64,9831.0,9809.33,9885.0,9810.49,9820.82,9800.16,0.105,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,poi_extreme,9810.0,9812.46,9810.64,9831.0,9809.33,9885.0,9810.49,9885.0,9735.98,0.759,loss,-1.0,2020-02-08T17:11:00
2020-02-18T04:45:00+00:00,LONG,ob_full,9748.5,9771.1,9734.85,9773.01,9638.12,9745.57,9766.58,9734.85,9798.31,0.325,no_entry,0.0,2020-02-18T06:42:00
2020-02-18T04:45:00+00:00,LONG,ob_inside_15,9748.5,9771.1,9734.85,9773.01,9638.12,9745.57,9766.58,9740.57,9792.59,0.266,no_entry,0.0,2020-02-18T06:42:00
2020-02-18T04:45:00+00:00,LONG,ob_inside_35,9748.5,9771.1,9734.85,9773.01,9638.12,9745.57,9766.58,9748.21,9784.95,0.188,no_entry,0.0,2020-02-18T06:42:00
2020-02-18T04:45:00+00:00,LONG,ob_inside_50,9748.5,9771.1,9734.85,9773.01,9638.12,9745.57,9766.58,9753.93,9779.23,0.13,no_entry,0.0,2020-02-18T06:42:00
2020-02-18T04:45:00+00:00,LONG,poi_extreme,9748.5,9771.1,9734.85,9773.01,9638.12,9745.57,9766.58,9638.12,9895.04,1.315,loss,-1.0,2020-02-18T10:14:00
2020-02-20T16:45:00+00:00,LONG,ob_full,9565.0,9580.98,9518.08,9565.49,9350.0,9593.79,9577.78,9518.08,9637.49,0.623,no_entry,0.0,2020-02-20T17:10:00
2020-02-20T16:45:00+00:00,LONG,ob_inside_15,9565.0,9580.98,9518.08,9565.49,9350.0,9593.79,9577.78,9525.19,9630.38,0.549,no_entry,0.0,2020-02-20T17:10:00
2020-02-20T16:45:00+00:00,LONG,ob_inside_35,9565.0,9580.98,9518.08,9565.49,9350.0,9593.79,9577.78,9534.67,9620.89,0.45,no_entry,0.0,2020-02-20T17:10:00
2020-02-20T16:45:00+00:00,LONG,ob_inside_50,9565.0,9580.98,9518.08,9565.49,9350.0,9593.79,9577.78,9541.78,9613.78,0.376,no_entry,0.0,2020-02-20T17:10:00
2020-02-20T16:45:00+00:00,LONG,poi_extreme,9565.0,9580.98,9518.08,9565.49,9350.0,9593.79,9577.78,9350.0,9805.57,2.378,win,1.0,2020-02-23T04:00:00
2020-02-28T20:15:00+00:00,LONG,ob_full,8579.28,8643.72,8445.0,8606.31,8531.0,8739.68,8630.83,8445.0,8816.66,2.153,loss,-1.0,2020-03-01T19:00:00
2020-02-28T20:15:00+00:00,LONG,ob_inside_15,8579.28,8643.72,8445.0,8606.31,8531.0,8739.68,8630.83,8469.2,8792.47,1.873,win,1.0,2020-02-28T23:01:00
2020-02-28T20:15:00+00:00,LONG,ob_inside_35,8579.28,8643.72,8445.0,8606.31,8531.0,8739.68,8630.83,8501.46,8760.21,1.499,win,1.0,2020-02-28T22:43:00
2020-02-28T20:15:00+00:00,LONG,ob_inside_50,8579.28,8643.72,8445.0,8606.31,8531.0,8739.68,8630.83,8525.65,8736.01,1.219,win,1.0,2020-02-28T22:39:00
2020-02-28T20:15:00+00:00,LONG,poi_extreme,8579.28,8643.72,8445.0,8606.31,8531.0,8739.68,8630.83,8531.0,8730.66,1.157,win,1.0,2020-02-28T22:38:00
2020-02-29T23:00:00+00:00,LONG,ob_full,8632.63,8632.7,8572.22,8634.42,8445.0,8586.43,8632.69,8572.22,8693.15,0.7,loss,-1.0,2020-02-29T23:37:00
2020-02-29T23:00:00+00:00,LONG,ob_inside_15,8632.63,8632.7,8572.22,8634.42,8445.0,8586.43,8632.69,8581.55,8683.82,0.592,loss,-1.0,2020-02-29T23:37:00
2020-02-29T23:00:00+00:00,LONG,ob_inside_35,8632.63,8632.7,8572.22,8634.42,8445.0,8586.43,8632.69,8593.99,8671.38,0.448,loss,-1.0,2020-02-29T23:37:00
2020-02-29T23:00:00+00:00,LONG,ob_inside_50,8632.63,8632.7,8572.22,8634.42,8445.0,8586.43,8632.69,8603.32,8662.05,0.34,loss,-1.0,2020-02-29T23:34:00
2020-02-29T23:00:00+00:00,LONG,poi_extreme,8632.63,8632.7,8572.22,8634.42,8445.0,8586.43,8632.69,8445.0,8820.37,2.174,loss,-1.0,2020-03-01T19:00:00
