RR,n_total,n_closed,wins,losses,no_entry,not_filled,open,WR_%,total_R,R_per_trade
1.0,454,222,122,100,224,8,0,55.0,22.0,0.099
1.25,454,254,125,129,192,8,0,49.2,27.25,0.107
1.5,454,273,124,149,173,8,0,45.4,37.0,0.136
1.75,454,293,123,170,153,8,0,42.0,45.25,0.154
2.0,454,305,119,186,141,8,0,39.0,52.0,0.17
2.25,454,319,116,203,127,8,0,36.4,58.0,0.182
2.5,454,326,108,218,120,8,0,33.1,52.0,0.16
2.75,454,339,105,234,106,8,1,31.0,54.75,0.162
3.0,454,346,100,246,99,8,1,28.9,54.0,0.156
3.5,454,359,96,263,86,8,1,26.7,73.0,0.203
4.0,454,373,92,281,72,8,1,24.7,87.0,0.233
5.0,454,384,77,307,58,8,4,20.1,78.0,0.203
