cfg,top,macro,htf,entry,swept,btc_n,btc_closed,btc_wr,btc_R,btc_LR,btc_SR,btc_posyrs,btc_nyrs,btc_h1,btc_h2,eth_closed,eth_R,sol_closed,sol_R,cross,two_sided,year_ok,oos,PASS,null_p,btc_R_rr15,btc_R_rr25
topOB-macOB-htfOB-deep,OB,OB,OB,deep,0,1721,1680,38.2,246.0,173.0,73.0,7,7,134.0,112.0,1452,315.0,1334,118.0,1,1,1,1,1,0.000,233.0,267.0
topOB-macOB-htfOB-deep-SW,OB,OB,OB,deep,1,816,792,36.5,75.0,56.0,19.0,6,7,45.0,30.0,667,83.0,668,-29.0,1,1,1,1,1,0.030,78.5,62.0
topOB-macOB-htfOB-sametf,OB,OB,OB,sametf,0,264,252,39.7,48.0,36.0,12.0,5,7,42.0,6.0,220,95.0,193,56.0,1,1,1,1,1,0.003,53.0,70.0
topOB-macOB-htfOB-sametf-SW,OB,OB,OB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,-1.0,1,2.0,0,0,0,0,0,,0.0,0.0
topOB-macOB-htfRDRB-deep,OB,OB,RDRB,deep,0,974,967,38.3,143.0,96.0,47.0,6,7,132.0,11.0,877,221.0,788,151.0,1,1,1,1,1,0.000,148.0,106.0
topOB-macOB-htfRDRB-deep-SW,OB,OB,RDRB,deep,1,305,303,38.9,51.0,42.0,9.0,5,7,63.0,-12.0,245,91.0,224,13.0,1,1,1,0,0,,44.5,44.5
topOB-macOB-htfRDRB-sametf,OB,OB,RDRB,sametf,0,11,11,18.2,-5.0,-2.0,-3.0,2,5,0.0,-5.0,6,-3.0,18,6.0,0,0,0,0,0,,-3.5,-4.0
topOB-macOB-htfRDRB-sametf-SW,OB,OB,RDRB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,-1.0,0,0,0,0,0,,0.0,0.0
topOB-macFVG-htfOB-deep,OB,FVG,OB,deep,0,834,813,39.7,156.0,120.0,36.0,6,7,85.0,71.0,743,193.0,673,68.0,1,1,1,1,1,0.000,114.0,157.5
topOB-macFVG-htfOB-deep-SW,OB,FVG,OB,deep,1,386,378,39.2,66.0,43.0,23.0,4,7,35.0,31.0,356,100.0,337,11.0,1,1,0,1,0,,65.0,84.0
topOB-macFVG-htfOB-sametf,OB,FVG,OB,sametf,0,132,123,39.0,21.0,17.0,4.0,6,7,11.0,10.0,111,18.0,96,21.0,1,1,1,1,1,0.093,29.5,20.5
topOB-macFVG-htfOB-sametf-SW,OB,FVG,OB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2,-2.0,1,2.0,0,0,0,0,0,,0.0,0.0
