idx,chain,signal_time,year,direction,fvg_b,fvg_t,x1_b,x1_t,obh_b,obh_t,entry,sl,tp,risk_abs,risk_pct,outcome,R,entry_time,exit_time
0,F,2020-01-25 10:00:00+00:00,2020,LONG,8337.54,8345.19,8238.0,8404.52,8306.65,8330.0,8342.9,8259.47,8509.75,83.43,1.0,win,2.0,2020-01-25 10:14:00,2020-01-26 16:57:00
1,K,2020-02-21 22:00:00+00:00,2020,SHORT,9664.43,9670.0,9668.0,9699.0,9681.84,9720.0,9666.1,9762.76,9472.78,96.66,1.0,loss,-1.0,2020-02-21 23:10:00,2020-02-23 03:45:00
2,F,2020-03-07 02:00:00+00:00,2020,SHORT,9113.33,9117.37,9107.86,9170.0,9113.98,9143.55,9114.54,9205.69,8932.25,91.15,1.0,win,2.0,2020-03-07 03:30:00,2020-03-07 17:01:00
3,J,2020-03-21 22:00:00+00:00,2020,SHORT,6310.01,6325.0,6204.57,6380.0,6216.11,6456.98,6314.51,6377.65,6188.22,63.15,1.0,no_entry,0.0,,
4,B,2020-03-23 07:00:00+00:00,2020,LONG,5889.67,5890.12,5688.0,5911.11,5855.73,5901.05,5889.98,5758.58,6152.79,131.4,2.231,loss,-1.0,2020-03-23 07:25:00,2020-03-23 08:51:00
5,K,2020-03-23 07:00:00+00:00,2020,LONG,5894.72,5901.26,5688.0,5911.11,5855.73,5901.05,5899.3,5760.35,6177.19,138.95,2.355,loss,-1.0,2020-03-23 07:15:00,2020-03-23 08:51:00
6,B,2020-03-23 13:00:00+00:00,2020,LONG,5867.41,6037.21,5688.0,5911.11,5810.72,5863.53,5986.27,5750.79,6457.22,235.48,3.934,no_entry,0.0,,
7,K,2020-03-23 13:00:00+00:00,2020,LONG,5869.0,6193.78,5688.0,5911.11,5810.72,5863.53,6096.35,5751.35,6786.34,345.0,5.659,no_entry,0.0,,
8,J,2020-03-25 11:00:00+00:00,2020,SHORT,6697.0,6801.0,6697.39,6792.15,6783.96,6957.96,6728.2,6855.94,6472.73,127.74,1.899,no_entry,0.0,,
9,J,2020-03-25 20:00:00+00:00,2020,SHORT,6633.19,6639.96,6557.76,6957.96,6641.79,6674.78,6635.22,6751.26,6403.14,116.04,1.749,loss,-1.0,2020-03-25 20:18:00,2020-03-26 00:01:00
10,F,2020-03-27 10:00:00+00:00,2020,SHORT,6697.75,6697.81,6641.79,6780.0,6654.63,6728.06,6697.77,6764.75,6563.81,66.98,1.0,win,2.0,2020-03-27 21:31:00,2020-03-27 23:43:00
11,B,2020-03-31 22:00:00+00:00,2020,SHORT,6448.0,6455.0,6439.47,6505.5,6465.32,6494.9,6450.1,6514.6,6321.1,64.5,1.0,no_entry,0.0,,
12,K,2020-03-31 22:00:00+00:00,2020,SHORT,6448.0,6464.59,6439.47,6505.5,6465.32,6494.9,6452.98,6517.51,6323.92,64.53,1.0,no_entry,0.0,,
13,B,2020-05-13 08:00:00+00:00,2020,SHORT,8893.43,8893.91,8837.28,8978.26,8883.29,8920.0,8893.57,8982.51,8715.7,88.94,1.0,loss,-1.0,2020-05-13 08:33:00,2020-05-13 11:00:00
14,B,2020-06-10 03:00:00+00:00,2020,SHORT,9780.0,9782.38,9694.64,9877.0,9774.97,9810.0,9780.71,9878.52,9585.1,97.81,1.0,loss,-1.0,2020-06-10 07:02:00,2020-06-10 18:36:00
15,K,2020-06-10 03:00:00+00:00,2020,SHORT,9777.0,9782.38,9694.64,9877.0,9774.97,9810.0,9778.61,9876.4,9583.04,97.79,1.0,loss,-1.0,2020-06-10 05:25:00,2020-06-10 18:36:00
16,B,2020-07-12 05:00:00+00:00,2020,SHORT,9274.34,9274.89,9268.19,9279.56,9270.36,9286.69,9274.5,9367.25,9089.01,92.75,1.0,win,2.0,2020-07-12 05:00:00,2020-07-16 07:16:00
17,B,2020-09-22 23:00:00+00:00,2020,SHORT,10526.99,10528.17,10503.0,10533.46,10512.69,10572.71,10527.34,10632.62,10316.8,105.27,1.0,win,2.0,2020-09-22 23:50:00,2020-09-23 19:05:00
18,K,2020-09-22 23:00:00+00:00,2020,SHORT,10524.38,10528.17,10503.0,10533.46,10512.69,10572.71,10525.52,10630.77,10315.01,105.26,1.0,win,2.0,2020-09-22 23:50:00,2020-09-23 19:05:00
19,F,2021-01-04 14:00:00+00:00,2021,LONG,30272.47,30454.25,30300.0,31962.99,28130.0,31038.35,30399.72,28879.86,33439.42,1519.85,5.0,win,2.0,2021-01-05 05:48:00,2021-01-05 19:00:00
20,J,2021-01-05 07:00:00+00:00,2021,LONG,30616.49,30858.58,30626.36,31745.71,29900.0,30858.98,30785.95,30150.77,32056.32,635.18,2.063,win,2.0,2021-01-05 07:57:00,2021-01-05 12:19:00
21,J,2021-01-05 09:00:00+00:00,2021,LONG,31100.75,31197.1,30626.36,31745.71,30759.47,31123.25,31168.19,30792.4,31919.79,375.8,1.206,win,2.0,2021-01-05 09:09:00,2021-01-05 12:01:00
22,J,2021-01-05 15:00:00+00:00,2021,LONG,31517.95,31561.3,30626.36,31745.71,31111.78,31585.0,31548.29,30938.42,32768.05,609.88,1.933,no_entry,0.0,,
23,J,2021-05-02 01:00:00+00:00,2021,SHORT,57616.4,57751.35,57725.14,58043.01,57660.31,57939.0,57656.89,58233.45,56503.75,576.57,1.0,win,2.0,2021-05-02 02:19:00,2021-05-02 03:39:00
24,F,2021-05-03 20:00:00+00:00,2021,SHORT,57764.43,57791.3,57567.34,57998.97,57603.33,58170.0,57772.49,58350.22,56617.04,577.72,1.0,no_entry,0.0,,
25,B,2021-06-10 22:00:00+00:00,2021,LONG,36100.0,36150.0,35650.16,36242.57,35782.0,36675.1,36135.0,35773.65,36857.7,361.35,1.0,no_entry,0.0,,
26,K,2021-06-10 22:00:00+00:00,2021,LONG,36145.88,36150.0,35650.16,36242.57,35782.0,36675.1,36148.76,35787.28,36871.74,361.49,1.0,no_entry,0.0,,
27,J,2021-06-13 09:00:00+00:00,2021,LONG,35412.66,35516.17,34600.36,35572.84,35171.55,35378.25,35485.12,34884.67,36686.02,600.45,1.692,no_entry,0.0,,
28,J,2021-09-17 08:00:00+00:00,2021,SHORT,47894.0,47924.6,47895.01,48226.38,48040.18,48130.0,47903.18,48382.21,46945.12,479.03,1.0,win,2.0,2021-09-17 08:16:00,2021-09-17 18:14:00
29,F,2021-09-19 02:00:00+00:00,2021,SHORT,48118.1,48217.44,47737.81,48150.0,47874.91,48372.83,48147.9,48629.38,47184.94,481.48,1.0,win,2.0,2021-09-19 07:00:00,2021-09-19 11:51:00
30,F,2021-12-23 14:00:00+00:00,2021,LONG,48349.0,48407.59,48265.24,48421.87,48211.62,48376.94,48390.01,47906.11,49357.81,483.9,1.0,no_entry,0.0,,
31,B,2021-12-26 22:00:00+00:00,2021,LONG,50274.8,50381.78,50142.32,50644.48,49914.73,50342.51,50349.69,49846.19,51356.68,503.5,1.0,no_entry,0.0,,
32,K,2021-12-26 22:00:00+00:00,2021,LONG,50274.8,50732.78,50142.32,50644.48,49914.73,50342.51,50595.39,50089.43,51607.29,505.95,1.0,win,2.0,2021-12-27 00:41:00,2021-12-27 14:41:00
33,J,2022-01-13 16:00:00+00:00,2022,SHORT,43449.97,43967.74,43816.0,44322.0,43924.61,44500.0,43605.3,44091.73,42632.44,486.43,1.116,no_entry,0.0,,
34,F,2022-01-30 10:00:00+00:00,2022,SHORT,38115.14,38150.0,37653.71,38198.82,38139.38,38359.26,38125.6,38506.85,37363.09,381.26,1.0,win,2.0,2022-01-30 10:19:00,2022-01-30 20:07:00
35,F,2022-01-30 20:00:00+00:00,2022,SHORT,37879.08,37885.63,37653.71,38198.82,37977.47,38074.76,37881.04,38259.86,37123.42,378.81,1.0,win,2.0,2022-01-30 23:03:00,2022-01-31 00:44:00
36,F,2022-01-31 02:00:00+00:00,2022,SHORT,37959.88,37979.66,37653.71,38198.82,37729.0,38230.0,37965.81,38345.47,37206.5,379.66,1.0,no_entry,0.0,,
37,J,2022-02-02 14:00:00+00:00,2022,SHORT,38566.67,38604.19,38425.05,39265.2,38490.0,38773.41,38577.93,38963.71,37806.37,385.78,1.0,no_entry,0.0,,
38,J,2022-02-19 00:00:00+00:00,2022,LONG,39975.5,39984.73,39450.0,40178.95,39711.31,39971.05,39981.96,39582.14,40781.6,399.82,1.0,loss,-1.0,2022-02-19 00:00:00,2022-02-20 04:32:00
39,J,2022-02-19 05:00:00+00:00,2022,LONG,40155.97,40168.09,39450.0,40178.95,40060.88,40155.22,40164.45,39697.09,41099.18,467.36,1.164,loss,-1.0,2022-02-19 05:12:00,2022-02-19 11:34:00
40,F,2022-02-19 14:00:00+00:00,2022,LONG,39891.96,39892.34,39711.31,40022.97,39639.03,39926.26,39892.23,39493.3,40690.07,398.92,1.0,loss,-1.0,2022-02-19 14:10:00,2022-02-20 04:59:00
41,F,2022-02-19 18:00:00+00:00,2022,LONG,39890.29,39932.6,39711.31,40022.97,39771.31,40017.88,39919.91,39520.71,40718.31,399.2,1.0,loss,-1.0,2022-02-19 19:50:00,2022-02-20 04:32:00
42,F,2022-02-20 00:00:00+00:00,2022,LONG,39979.15,40005.07,39711.31,40022.97,39800.0,39974.66,39997.29,39597.32,40797.24,399.97,1.0,loss,-1.0,2022-02-20 00:25:00,2022-02-20 04:32:00
43,B,2022-03-23 13:00:00+00:00,2022,LONG,41984.5,42180.89,41995.01,42236.46,41878.82,42156.52,42121.97,41700.75,42964.41,421.22,1.0,win,2.0,2022-03-23 13:33:00,2022-03-23 23:53:00
44,J,2022-08-26 15:00:00+00:00,2022,SHORT,21602.48,21615.88,21563.92,21685.0,21638.88,21886.77,21606.5,21822.56,21174.37,216.06,1.0,no_entry,0.0,,
45,B,2022-09-14 22:00:00+00:00,2022,LONG,19952.94,19957.62,19860.0,20284.89,19851.21,19951.83,19956.22,19756.65,20355.34,199.56,1.0,no_entry,0.0,,
46,J+K,2022-09-14 22:00:00+00:00,2022,LONG,19961.55,20023.0,19860.0,20284.89,19851.21,19951.83,20004.56,19804.52,20404.66,200.05,1.0,loss,-1.0,2022-09-15 01:10:00,2022-09-15 14:40:00
47,B,2022-10-05 16:00:00+00:00,2022,LONG,19855.0,19858.45,19808.0,19872.02,19730.0,19920.35,19857.42,19658.84,20254.56,198.57,1.0,no_entry,0.0,,
48,K,2022-10-05 16:00:00+00:00,2022,LONG,19841.9,19861.62,19808.0,19872.02,19730.0,19920.35,19855.7,19657.15,20252.82,198.56,1.0,no_entry,0.0,,
49,F,2022-11-25 12:00:00+00:00,2022,LONG,16451.59,16460.0,16320.02,16458.05,16407.72,16462.22,16457.48,16292.9,16786.63,164.57,1.0,loss,-1.0,2022-11-25 14:09:00,2022-11-28 01:18:00
50,J,2022-12-08 14:00:00+00:00,2022,LONG,16832.61,16835.85,16733.49,16834.32,16802.88,16850.88,16834.88,16666.53,17171.58,168.35,1.0,win,2.0,2022-12-08 14:33:00,2022-12-08 18:36:00
51,B,2022-12-19 00:00:00+00:00,2022,SHORT,16781.11,16785.82,16772.0,16804.7,16746.94,16863.26,16782.52,16950.35,16446.87,167.83,1.0,win,2.0,2022-12-19 00:23:00,2022-12-19 22:31:00
52,B,2022-12-19 03:00:00+00:00,2022,SHORT,16766.69,16774.41,16772.0,16804.7,16774.25,16804.15,16769.01,16936.7,16433.63,167.69,1.0,win,2.0,2022-12-19 09:36:00,2022-12-19 22:31:00
53,K,2022-12-19 03:00:00+00:00,2022,SHORT,16764.9,16774.41,16772.0,16804.7,16774.25,16804.15,16767.75,16935.43,16432.4,167.68,1.0,win,2.0,2022-12-19 09:36:00,2022-12-19 22:31:00
54,J,2022-12-23 09:00:00+00:00,2022,SHORT,16838.4,16840.01,16826.23,16868.52,16840.74,16860.06,16838.88,17007.27,16502.11,168.39,1.0,win,2.0,2022-12-23 09:00:00,2022-12-28 21:25:00
55,F,2022-12-23 22:00:00+00:00,2022,SHORT,16839.77,16843.81,16823.43,16868.52,16842.05,16860.07,16840.98,17009.39,16504.16,168.41,1.0,win,2.0,2022-12-24 03:21:00,2022-12-28 21:25:00
56,F,2023-02-26 00:00:00+00:00,2023,LONG,22945.92,22967.14,22858.35,23040.57,22722.0,22983.78,22960.77,22731.17,23419.99,229.61,1.0,no_entry,0.0,,
57,F,2023-03-02 20:00:00+00:00,2023,LONG,23314.0,23353.93,23020.03,23505.25,23231.29,23361.1,23341.95,23108.53,23808.79,233.42,1.0,loss,-1.0,2023-03-03 01:18:00,2023-03-03 01:21:00
58,J,2023-03-06 20:00:00+00:00,2023,SHORT,22417.99,22496.3,22410.0,22560.0,22481.63,22539.68,22441.48,22665.9,21992.65,224.41,1.0,win,2.0,2023-03-06 22:39:00,2023-03-07 15:09:00
59,J,2023-03-07 04:00:00+00:00,2023,SHORT,22466.59,22476.75,22410.0,22560.0,22484.8,22557.91,22469.64,22694.33,22020.25,224.7,1.0,win,2.0,2023-03-07 04:01:00,2023-03-07 15:07:00
60,B,2023-03-11 23:00:00+00:00,2023,SHORT,20364.91,20379.6,20367.78,20686.51,20349.4,20450.0,20369.32,20573.01,19961.93,203.69,1.0,loss,-1.0,2023-03-11 23:03:00,2023-03-12 17:26:00
61,B,2023-04-12 10:00:00+00:00,2023,LONG,29932.11,29959.24,29940.0,29940.0,29895.98,29986.99,29951.1,29651.59,30550.12,299.51,1.0,loss,-1.0,2023-04-12 11:10:00,2023-04-12 15:13:00
62,J,2023-05-10 22:00:00+00:00,2023,SHORT,27764.76,27848.5,27818.0,27849.94,27692.27,27982.23,27789.88,28067.78,27234.08,277.9,1.0,no_entry,0.0,,
63,B,2023-05-27 06:00:00+00:00,2023,SHORT,26760.23,26760.95,26750.22,26837.34,26752.0,26786.51,26760.45,27028.05,26225.24,267.6,1.0,loss,-1.0,2023-05-27 06:50:00,2023-05-28 00:41:00
64,B,2023-05-30 19:00:00+00:00,2023,LONG,27732.08,27762.69,27672.93,27745.78,27625.14,27713.43,27753.51,27475.97,28308.58,277.54,1.0,loss,-1.0,2023-05-30 19:02:00,2023-05-31 04:47:00
65,K,2023-05-30 19:00:00+00:00,2023,LONG,27712.0,27751.45,27672.93,27745.78,27625.14,27713.43,27739.62,27462.22,28294.41,277.4,1.0,loss,-1.0,2023-05-30 21:47:00,2023-05-31 04:47:00
66,F,2023-07-27 00:00:00+00:00,2023,SHORT,29390.0,29446.6,29376.0,29412.88,29401.93,29690.0,29406.98,29701.05,28818.84,294.07,1.0,win,2.0,2023-07-27 01:22:00,2023-08-01 02:10:00
67,F,2023-07-28 18:00:00+00:00,2023,SHORT,29411.46,29476.88,29460.01,29567.49,29293.42,29542.22,29431.09,29725.4,28842.46,294.31,1.0,win,2.0,2023-07-30 15:03:00,2023-08-01 02:10:00
