target,rank,feature,importance
y_low_strong_3,1,sweep_SSL_mag_24h_pct,0.3616746873274639
y_low_strong_3,2,candle_close_pos_in_range,0.13365326470658379
y_low_strong_3,3,sweep_SSL_24h,0.10834433607727227
y_low_strong_3,4,sweep_SSL_failed_24h,0.024473781246554333
y_low_strong_3,5,vsa_climax_bull,0.0230209664963856
y_low_strong_3,6,candle_range_vs_atr,0.019828139173735566
y_low_strong_3,7,zs_LONG_OB_4h_width_pct,0.01502490258084855
y_low_strong_3,8,sweep_SSL_failed_72h,0.014595171116449479
y_low_strong_3,9,zs_LONG_OB_2h_width_pct,0.013525598684229834
y_low_strong_3,10,sweep_SSL_failed_168h,0.012912433075440587
y_low_strong_3,11,zs_SHORT_FVG_1d_birth_body_pct,0.010956314257160543
y_low_strong_3,12,candle_upper_wick_pct,0.010070401431978751
y_low_strong_3,13,pre_3d_return_pct,0.009813417317029635
y_low_strong_3,14,sweep_SSL_mag_72h_pct,0.00797585479326294
y_low_strong_3,15,zs_SHORT_OB_1d_width_pct,0.007870345789475515
y_low_strong_3,16,dist_LONG_OB_1d_pct,0.007828962441615126
y_low_strong_3,17,candle_lower_wick_pct,0.006838099765518965
y_low_strong_3,18,vol_zscore_20,0.006357387444956808
y_low_strong_3,19,zs_LONG_OB_2h_age_h,0.005981798567227707
y_low_strong_3,20,usdtd_1d_return_pct,0.005962213675052615
y_low_strong_3,21,lopez_vpin,0.005639494377644551
y_low_strong_3,22,zs_LONG_FVG_4h_width_pct,0.005231455351732032
y_low_strong_3,23,zs_SHORT_OB_1d_touch_count,0.0052153993518692645
y_low_strong_3,24,zs_SHORT_OB_12h_touch_count,0.005014137209301128
y_low_strong_3,25,zs_SHORT_FVG_12h_touch_count,0.0048808253315250245
y_low_strong_3,26,dist_SHORT_OB_1d_pct,0.0047160398500222245
y_low_strong_3,27,n_LONG_OB_4h,0.004647756695250297
y_low_strong_3,28,zs_LONG_FVG_12h_width_pct,0.004144764884592136
y_low_strong_3,29,zs_LONG_OB_1h_birth_body_pct,0.0039377873954534875
y_low_strong_3,30,sweep_SSL_mag_168h_pct,0.003630485137812743
y_low_strong_4,1,sweep_SSL_mag_24h_pct,0.24785659456993864
y_low_strong_4,2,sweep_SSL_24h,0.204176546206094
y_low_strong_4,3,candle_close_pos_in_range,0.13352187443378072
y_low_strong_4,4,vsa_climax_bull,0.028241282912037296
y_low_strong_4,5,sweep_SSL_failed_24h,0.024885077544011088
y_low_strong_4,6,candle_range_vs_atr,0.018789688895798292
y_low_strong_4,7,zs_LONG_OB_4h_width_pct,0.014915113583201012
y_low_strong_4,8,sweep_SSL_failed_168h,0.014284199940587402
y_low_strong_4,9,candle_upper_wick_pct,0.01424323512108549
y_low_strong_4,10,zs_SHORT_OB_1d_width_pct,0.01242758954786822
y_low_strong_4,11,zs_LONG_OB_2h_width_pct,0.011545379085747938
y_low_strong_4,12,zs_SHORT_OB_2h_birth_body_pct,0.010119959398499462
y_low_strong_4,13,n_LONG_OB_4h,0.009582827644548174
y_low_strong_4,14,zs_SHORT_FVG_1d_birth_body_pct,0.008891655631583357
y_low_strong_4,15,lopez_vpin,0.008851057089200767
y_low_strong_4,16,sweep_SSL_mag_72h_pct,0.007544395202400284
y_low_strong_4,17,zs_SHORT_FVG_2h_width_pct,0.006953732325248718
y_low_strong_4,18,candle_lower_wick_pct,0.00672994730303991
y_low_strong_4,19,vsa_vol_up_down_ratio_60,0.006671533433656251
y_low_strong_4,20,dist_SHORT_OB_1d_pct,0.006598176915458454
y_low_strong_4,21,pre_3d_return_pct,0.00642301403473028
y_low_strong_4,22,zs_SHORT_FVG_12h_touch_count,0.006184495161025291
y_low_strong_4,23,zs_LONG_FVG_1h_width_pct,0.006002937920702597
y_low_strong_4,24,zs_LONG_OB_2h_age_h,0.005285821671620244
y_low_strong_4,25,sweep_SSL_failed_72h,0.005172017282997963
y_low_strong_4,26,vsa_smart_money_20,0.004854070372567874
y_low_strong_4,27,usdtd_1d_return_pct,0.004444026641798452
y_low_strong_4,28,dist_LONG_OB_1d_pct,0.0044143760988114315
y_low_strong_4,29,lopez_sadf,0.004278109254984369
y_low_strong_4,30,zs_SHORT_FVG_1h_birth_body_pct,0.004176896185124653
y_low_strong_5,1,sweep_SSL_mag_24h_pct,0.44739369025826137
y_low_strong_5,2,candle_close_pos_in_range,0.10061530949287083
y_low_strong_5,3,vsa_climax_bull,0.025663216839638698
y_low_strong_5,4,candle_range_vs_atr,0.021947968959017704
y_low_strong_5,5,sweep_SSL_failed_24h,0.017111317568227494
y_low_strong_5,6,sweep_SSL_failed_72h,0.016133468215711252
y_low_strong_5,7,n_LONG_OB_4h,0.012932658086351103
y_low_strong_5,8,candle_upper_wick_pct,0.012904398117426297
y_low_strong_5,9,zs_SHORT_OB_2h_birth_body_pct,0.011898902706752637
y_low_strong_5,10,pre_3d_return_pct,0.01151420283039376
y_low_strong_5,11,sweep_SSL_failed_168h,0.010968669223297818
y_low_strong_5,12,dist_LONG_OB_4h_pct,0.00979489685263314
y_low_strong_5,13,dist_LONG_OB_1d_pct,0.009376046841620312
y_low_strong_5,14,lopez_vpin,0.009005401315690043
y_low_strong_5,15,bulk_bars_since_big_w,0.00866832970970328
