idx,time_utc,side,tier,p_main,p3,p4,p5,p_opp_3,close,high,low,hit_3,hit_4,hit_5
1,2025-01-05 12:00,LONG,D_watch,0.561,0.561,0.554,0.336,0.073,98363.61,98836.85,97276.79,1,1,1
2,2025-01-08 12:00,LONG,A_sniper,0.926,0.926,0.893,0.839,0.005,95060.61,96079.32,92500.9,0,0,0
3,2025-01-09 12:00,LONG,C_signal,0.694,0.694,0.663,0.494,0.006,92552.49,94685.25,91203.67,1,1,1
4,2025-01-10 12:00,SHORT,E_weak,0.401,0.401,0.304,0.214,0.005,94726.11,95836.0,92206.02,1,1,1
5,2025-01-12 00:00,LONG,F_min,0.334,0.334,0.266,0.251,0.005,94255.1,94699.0,93711.19,0,0,0
6,2025-01-12 12:00,SHORT,E_weak,0.436,0.436,0.275,0.28,0.004,94545.06,95450.1,93800.0,0,0,0
7,2025-01-13 00:00,SHORT,A_sniper,0.858,0.858,0.903,0.759,0.034,90851.22,95940.0,90833.12,0,0,0
8,2025-01-13 12:00,LONG,A_sniper,0.944,0.944,0.914,0.862,0.004,94536.1,94727.15,89256.69,1,1,1
9,2025-01-14 00:00,SHORT,F_min,0.305,0.305,0.198,0.157,0.004,96548.04,97371.0,94346.22,0,0,0
10,2025-01-16 00:00,SHORT,C_signal,0.628,0.628,0.539,0.484,0.004,99158.71,100866.66,98617.55,0,0,0
11,2025-01-19 12:00,SHORT,D_watch,0.5,0.5,0.484,0.475,0.179,101331.57,106422.43,99651.6,0,0,0
12,2025-01-20 00:00,LONG,A_sniper,0.908,0.908,0.853,0.881,0.033,108239.19,109588.0,99550.0,1,1,1
13,2025-01-23 12:00,SHORT,D_watch,0.568,0.568,0.565,0.418,0.003,103910.34,106850.0,101281.62,0,0,0
14,2025-01-24 12:00,SHORT,E_weak,0.4,0.4,0.309,0.275,0.002,104870.5,107120.0,104456.89,1,1,1
15,2025-01-28 12:00,SHORT,E_weak,0.466,0.466,0.328,0.356,0.003,101335.52,103800.0,100272.68,0,0,0
16,2025-01-30 12:00,SHORT,D_watch,0.517,0.517,0.56,0.441,0.002,104722.94,106457.44,104660.0,1,1,1
17,2025-02-02 12:00,LONG,E_weak,0.478,0.478,0.416,0.479,0.004,97700.59,99439.05,96150.0,0,0,0
18,2025-02-03 00:00,LONG,C_signal,0.659,0.659,0.747,0.792,0.005,95107.89,97782.79,91231.0,1,1,1
19,2025-02-07 12:00,SHORT,B_strong,0.71,0.71,0.578,0.474,0.467,96506.8,100137.99,95620.34,1,1,1
20,2025-02-07 12:00,LONG,E_weak,0.467,0.467,0.481,0.359,0.71,96506.8,100137.99,95620.34,1,0,0
21,2025-02-09 12:00,LONG,D_watch,0.581,0.581,0.576,0.64,0.004,96462.75,96760.0,94713.0,1,1,0
22,2025-02-12 12:00,LONG,A_sniper,0.888,0.888,0.869,0.704,0.004,97869.99,98119.99,94088.23,1,1,1
23,2025-02-18 00:00,LONG,F_min,0.337,0.337,0.294,0.32,0.006,95640.34,96322.97,95050.0,0,0,0
24,2025-02-18 12:00,LONG,B_strong,0.784,0.784,0.699,0.681,0.007,95671.74,96753.91,93388.09,1,1,1
25,2025-02-19 12:00,SHORT,F_min,0.326,0.326,0.248,0.149,0.004,96644.37,96899.99,95407.41,0,0,0
26,2025-02-21 00:00,SHORT,F_min,0.32,0.32,0.218,0.134,0.004,98629.3,98896.81,98084.06,0,0,0
27,2025-02-21 12:00,SHORT,A_sniper,0.848,0.848,0.78,0.874,0.299,96181.98,99475.0,94871.95,1,1,1
28,2025-02-23 12:00,LONG,D_watch,0.529,0.529,0.578,0.37,0.005,96258.0,96332.44,95227.94,0,0,0
29,2025-02-25 00:00,LONG,C_signal,0.688,0.688,0.703,0.688,0.004,89239.39,92540.69,86888.1,0,0,0
30,2025-02-25 12:00,LONG,A_sniper,0.806,0.806,0.715,0.508,0.004,88680.4,89544.4,86050.99,0,0,0
31,2025-02-26 12:00,LONG,D_watch,0.514,0.514,0.488,0.333,0.005,84250.09,88674.0,82256.01,1,1,1
32,2025-02-28 00:00,LONG,C_signal,0.652,0.652,0.524,0.438,0.003,80513.38,84892.85,78258.52,1,1,1
33,2025-03-01 00:00,SHORT,E_weak,0.468,0.468,0.414,0.296,0.004,84632.79,86558.0,83824.78,0,0,0
34,2025-03-04 00:00,LONG,F_min,0.37,0.37,0.268,0.258,0.004,83937.94,86807.98,82464.84,0,0,0
35,2025-03-04 12:00,LONG,B_strong,0.769,0.769,0.776,0.556,0.004,87281.98,88967.52,81500.0,1,1,1
36,2025-03-05 12:00,SHORT,E_weak,0.439,0.439,0.284,0.139,0.003,90606.01,91000.0,87600.0,0,0,0
37,2025-03-06 00:00,SHORT,F_min,0.374,0.374,0.275,0.246,0.003,91350.0,92810.64,89986.73,1,1,1
38,2025-03-07 00:00,LONG,A_sniper,0.8,0.8,0.693,0.701,0.005,88966.96,91283.02,84667.03,0,0,0
39,2025-03-11 00:00,LONG,B_strong,0.728,0.728,0.839,0.76,0.004,81720.34,82092.34,76606.0,1,1,1
40,2025-03-13 12:00,LONG,F_min,0.319,0.319,0.334,0.328,0.004,81115.78,83900.0,79939.9,1,1,1
41,2025-03-14 12:00,SHORT,F_min,0.308,0.308,0.379,0.362,0.004,83983.2,85309.71,82640.59,1,1,0
42,2025-03-16 12:00,SHORT,A_sniper,0.815,0.815,0.722,0.742,0.206,82574.53,85117.04,81981.12,1,1,0
43,2025-03-18 12:00,LONG,C_signal,0.638,0.638,0.738,0.723,0.003,82715.03,82821.6,81134.66,1,1,1
44,2025-03-20 00:00,SHORT,C_signal,0.66,0.66,0.564,0.523,0.003,85502.17,87453.67,84755.14,1,1,0
45,2025-03-21 12:00,LONG,D_watch,0.531,0.531,0.444,0.421,0.003,84088.79,84584.0,83175.25,1,1,1
46,2025-03-24 12:00,SHORT,C_signal,0.67,0.67,0.675,0.576,0.004,87498.16,88765.43,87050.6,1,1,1
47,2025-03-26 12:00,LONG,F_min,0.326,0.326,0.294,0.261,0.006,86909.17,88000.0,85860.0,0,0,0
48,2025-03-27 12:00,LONG,B_strong,0.749,0.749,0.567,0.571,0.004,87232.01,87728.27,85800.0,0,0,0
49,2025-03-29 12:00,LONG,C_signal,0.687,0.687,0.641,0.498,0.003,82648.54,82882.01,81644.81,0,0,0
50,2025-03-30 12:00,LONG,D_watch,0.535,0.535,0.47,0.477,0.004,82389.99,83268.05,81565.0,0,0,0
