dir,z_lo,z_hi,entry,sl,tp,atr,arm_t,fill_t,exit_t,outcome,R
SHORT,8404.52,8419.86,8412.19,8493.423214285714,8168.490357142858,162.46642857142874,2020-01-24 16:00:00+00:00,2020-01-25 00:00:00+00:00,2020-01-26 16:00:00+00:00,LOSS,-1.0
SHORT,9039.68,9188.0,9113.84,9209.447142857143,8827.01857142857,191.21428571428572,2020-01-29 00:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 16:00:00+00:00,LOSS,-1.0
SHORT,9391.55,9412.35,9401.95,9517.189285714287,9056.232142857143,230.47857142857148,2020-02-01 00:00:00+00:00,2020-02-01 08:00:00+00:00,2020-02-03 00:00:00+00:00,LOSS,-1.0
LONG,9341.17,9351.71,9346.439999999999,9255.39857142857,9619.564285714285,182.08285714285725,2020-02-02 16:00:00+00:00,2020-02-03 00:00:00+00:00,2020-02-03 16:00:00+00:00,LOSS,-1.0
LONG,9346.0,9370.53,9358.265,9265.008214285714,9638.035357142857,186.5135714285716,2020-02-03 08:00:00+00:00,2020-02-05 08:00:00+00:00,2020-02-05 16:00:00+00:00,WIN,3.0
LONG,9288.0,9331.59,9309.795,9218.983571428571,9582.229285714286,181.62285714285736,2020-02-04 00:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 16:00:00+00:00,LOSS,-1.0
SHORT,5144.53,5200.0,5172.264999999999,5485.478214285714,4232.625357142857,626.4264285714283,2020-03-17 08:00:00+00:00,2020-03-18 00:00:00+00:00,2020-03-19 08:00:00+00:00,LOSS,-1.0
LONG,7226.07,7329.9,7277.985,7164.918214285714,7617.185357142856,226.13357142857134,2020-04-07 16:00:00+00:00,2020-04-08 00:00:00+00:00,2020-04-09 08:00:00+00:00,LOSS,-1.0
LONG,7232.0,7283.13,7257.5650000000005,7144.731785714286,7596.064642857144,225.66642857142864,2020-04-10 08:00:00+00:00,2020-04-18 08:00:00+00:00,2020-04-19 00:00:00+00:00,LOSS,-1.0
LONG,6836.41,6858.92,6847.665,6753.691071428571,7129.586785714286,187.94785714285717,2020-04-12 00:00:00+00:00,2020-04-12 08:00:00+00:00,2020-04-12 16:00:00+00:00,WIN,3.0
