signal_time,exit_time,sym,direction,gross_R,risk_pct
2023-06-28 14:20:00,2023-06-28 17:09:00,BTCUSDT,LONG,-1.0,0.481084
2023-06-30 05:40:00,2023-06-30 12:32:00,BTCUSDT,SHORT,-1.0,0.976632
2023-07-23 09:30:00,2023-07-23 13:04:00,BTCUSDT,SHORT,2.2,0.071014
2023-07-24 07:40:00,2023-07-24 09:01:00,BTCUSDT,LONG,-1.0,0.19016
2023-08-02 02:00:00,2023-08-02 04:12:00,BTCUSDT,SHORT,2.2,0.414253
2023-08-04 21:15:00,2023-08-07 15:32:00,BTCUSDT,LONG,-1.0,0.539628
2023-08-08 00:30:00,2023-08-08 00:56:00,BTCUSDT,SHORT,-1.0,0.139926
2023-08-06 21:45:00,2023-08-07 00:31:00,BTCUSDT,SHORT,2.2,0.144654
2023-08-14 09:00:00,2023-08-14 13:32:00,BTCUSDT,SHORT,2.2,0.147409
2023-08-24 19:15:00,2023-08-24 20:51:00,BTCUSDT,LONG,-1.0,0.283898
2023-09-08 17:40:00,2023-09-10 04:22:00,BTCUSDT,LONG,-1.0,0.253505
2023-09-27 04:30:00,2023-09-27 09:17:00,BTCUSDT,SHORT,-1.0,0.071315
2023-10-06 00:30:00,2023-10-06 01:12:00,BTCUSDT,LONG,2.2,0.124878
2023-10-06 11:00:00,2023-10-06 12:31:00,BTCUSDT,SHORT,2.2,0.281386
2023-10-09 13:40:00,2023-10-09 16:01:00,BTCUSDT,LONG,-1.0,0.261585
2023-11-01 06:40:00,2023-11-01 12:49:00,BTCUSDT,LONG,2.2,0.15025
2023-12-20 16:15:00,2023-12-20 16:56:00,BTCUSDT,SHORT,2.2,0.433478
2024-02-18 18:00:00,2024-02-18 20:20:00,BTCUSDT,SHORT,2.2,0.180257
2024-02-19 01:15:00,2024-02-19 06:14:00,BTCUSDT,SHORT,-1.0,0.38674
2024-02-20 02:00:00,2024-02-20 06:12:00,BTCUSDT,LONG,2.2,0.374247
2024-02-19 17:30:00,2024-02-19 20:07:00,BTCUSDT,LONG,-1.0,0.440122
2024-03-28 16:15:00,2024-03-29 06:06:00,BTCUSDT,SHORT,2.2,0.55891
2024-04-22 00:45:00,2024-04-22 01:21:00,BTCUSDT,SHORT,-1.0,0.713278
2024-04-18 17:40:00,2024-04-19 01:13:00,BTCUSDT,SHORT,2.2,0.827265
2024-05-07 10:15:00,2024-05-07 11:47:00,BTCUSDT,SHORT,2.2,0.425121
2024-05-13 10:15:00,2024-05-13 15:52:00,BTCUSDT,SHORT,-1.0,0.469378
2024-06-24 12:00:00,2024-06-24 13:20:00,BTCUSDT,LONG,-1.0,0.405532
2024-05-23 20:30:00,2024-05-24 08:27:00,BTCUSDT,LONG,-1.0,1.044336
2024-06-10 11:45:00,2024-06-10 12:06:00,BTCUSDT,LONG,-1.0,0.099616
2024-07-20 19:30:00,2024-07-20 21:02:00,BTCUSDT,SHORT,2.2,0.181018
2024-07-21 15:15:00,2024-07-21 16:53:00,BTCUSDT,SHORT,-1.0,0.478152
2024-06-30 12:40:00,2024-06-30 13:29:00,BTCUSDT,SHORT,-1.0,0.152983
2024-07-15 09:00:00,2024-07-15 11:18:00,BTCUSDT,SHORT,2.2,0.38144
2024-07-08 02:00:00,2024-07-08 06:26:00,BTCUSDT,LONG,2.2,0.724398
2024-07-07 15:20:00,2024-07-07 17:05:00,BTCUSDT,LONG,2.2,0.291873
2024-07-25 04:40:00,2024-07-25 08:06:00,BTCUSDT,LONG,-1.0,0.364605
2024-08-25 23:45:00,2024-08-26 06:50:00,BTCUSDT,SHORT,2.2,0.555061
2024-08-20 10:20:00,2024-08-20 11:22:00,BTCUSDT,SHORT,2.2,0.203994
2024-08-28 16:45:00,2024-08-28 19:02:00,BTCUSDT,LONG,2.2,0.880966
2024-08-28 02:00:00,2024-08-28 07:18:00,BTCUSDT,LONG,-1.0,0.370891
2024-09-09 22:40:00,2024-09-10 18:38:00,BTCUSDT,SHORT,-1.0,0.876382
2024-09-16 17:45:00,2024-09-16 23:46:00,BTCUSDT,LONG,2.2,0.413453
2024-09-24 09:15:00,2024-09-24 10:16:00,BTCUSDT,SHORT,-1.0,0.272961
2024-09-30 20:20:00,2024-09-30 23:33:00,BTCUSDT,LONG,-1.0,0.596801
2024-10-08 06:45:00,2024-10-08 07:19:00,BTCUSDT,LONG,-1.0,0.412938
2024-10-21 17:00:00,2024-10-21 19:49:00,BTCUSDT,LONG,2.2,0.359619
2026-02-06 05:15:00,2026-02-06 13:21:00,BTCUSDT,LONG,2.2,1.55134
2024-10-25 08:30:00,2024-10-25 11:47:00,BTCUSDT,LONG,2.2,0.337947
2024-11-14 16:40:00,2024-11-14 20:55:00,BTCUSDT,LONG,-1.0,0.742078
2024-11-15 00:15:00,2024-11-15 11:53:00,BTCUSDT,LONG,2.2,0.982365
2024-11-15 12:45:00,2024-11-15 14:34:00,BTCUSDT,SHORT,2.2,0.520958
2025-02-25 11:45:00,2025-02-25 14:50:00,BTCUSDT,LONG,-1.0,1.413264
2024-11-29 17:15:00,2024-12-02 08:19:00,BTCUSDT,SHORT,2.2,0.903165
2024-12-02 11:30:00,2024-12-02 12:52:00,BTCUSDT,LONG,-1.0,0.273512
2024-12-09 12:20:00,2024-12-09 13:18:00,BTCUSDT,LONG,2.2,0.258337
2024-12-29 20:45:00,2024-12-29 21:52:00,BTCUSDT,LONG,-1.0,0.461319
2024-12-27 18:00:00,2024-12-28 14:18:00,BTCUSDT,LONG,2.2,0.494626
