tf,dir,rdrb_formed_utc3,zone_low,zone_high
1h,SHORT,2022-01-01 15:00:00,47007.73,47075.11
2h,SHORT,2022-01-02 11:00:00,47300.0,47315.38
1h,SHORT,2022-01-03 08:00:00,46944.77,46950.0
2h,LONG,2022-01-03 17:00:00,47100.0,47127.51
1h,LONG,2022-01-05 08:00:00,46333.22,46350.65
1h,SHORT,2022-01-06 14:00:00,42960.0,42987.73
2h,SHORT,2022-01-11 17:00:00,41956.45,41971.37
2h,LONG,2022-01-12 17:00:00,42867.55,42874.01
1h,LONG,2022-01-14 10:00:00,42738.47,42776.73
1h,SHORT,2022-01-15 17:00:00,42973.28,43002.02
1h,LONG,2022-01-16 11:00:00,43089.0,43117.24
1h,SHORT,2022-01-16 15:00:00,43042.67,43059.99
1h,SHORT,2022-01-17 08:00:00,42807.95,42810.0
1h,SHORT,2022-01-21 17:00:00,38751.6,38848.35
1h,LONG,2022-01-23 13:00:00,35600.47,35738.61
1h,LONG,2022-01-24 20:00:00,33776.02,33803.13
2h,LONG,2022-01-25 23:00:00,36777.77,36920.01
2h,SHORT,2022-01-27 07:00:00,36243.32,36322.54
1h,SHORT,2022-01-27 22:00:00,36345.76,36510.0
1h,LONG,2022-01-28 20:00:00,36989.92,37000.01
1h,SHORT,2022-01-30 05:00:00,37976.29,38045.27
1h,LONG,2022-02-07 18:00:00,42754.56,42766.06
1h,LONG,2022-02-09 10:00:00,43488.57,43533.73
1h,SHORT,2022-02-11 22:00:00,43500.0,43501.56
1h,SHORT,2022-02-13 23:00:00,42181.63,42208.21
1h,LONG,2022-02-18 13:00:00,40745.0,40764.55
2h,SHORT,2022-02-20 09:00:00,39843.59,39874.06
2h,LONG,2022-02-21 07:00:00,38400.98,38800.57
1h,SHORT,2022-02-21 13:00:00,39110.03,39150.81
1h,LONG,2022-02-24 20:00:00,35699.53,35861.05
1h,LONG,2022-02-26 05:00:00,39491.0,39562.17
2h,LONG,2022-02-26 07:00:00,39242.42,39252.0
1h,SHORT,2022-02-26 13:00:00,38927.07,39007.24
1h,LONG,2022-02-27 11:00:00,38656.44,38742.6
1h,LONG,2022-03-03 02:00:00,43817.0,43870.0
1h,SHORT,2022-03-04 01:00:00,42139.59,42188.45
