is_null,symbol,tf,arm,kind,end_dir,rev_R,mfe_rev_atr,mae_atr,sagitta_atr,depth_atr,a_norm,arc_gain,r2_quad,L,apex_pos,mtf_up,regime,year
0,BTCUSDT,1h,2020-01-04T18:00:00+00:00,ROUNDING_TOP,DOWN,1.0,7.299,0.554,2.88,11.52,-0.011362,0.317,0.802,45,0.67,1,0,2020
0,BTCUSDT,1h,2020-01-07T14:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,12.263,2.29,2.31,7.42,-0.046281,0.346,0.877,20,0.65,1,0,2020
0,BTCUSDT,1h,2020-01-10T17:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,0.069,3.497,1.51,7.92,0.002855,0.169,0.884,65,0.77,2,0,2020
0,BTCUSDT,1h,2020-01-14T08:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,0.528,5.114,1.6,5.82,0.014178,0.233,0.887,30,0.27,3,0,2020
0,BTCUSDT,1h,2020-01-24T18:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,3.519,0.583,1.94,6.66,0.007661,0.477,0.851,45,0.62,1,0,2020
0,BTCUSDT,1h,2020-01-27T08:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,0.313,16.554,2.55,7.57,0.004825,0.443,0.873,65,0.37,2,0,2020
0,BTCUSDT,1h,2020-02-05T23:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,1.039,3.31,2.2,6.78,0.004158,0.646,0.836,65,0.43,3,1,2020
0,BTCUSDT,1h,2020-02-07T17:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,6.941,1.943,2.02,10.84,-0.003829,0.142,0.937,65,0.82,2,1,2020
0,BTCUSDT,1h,2020-02-09T12:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,6.838,3.315,1.58,6.98,0.002988,0.266,0.866,65,0.31,3,1,2020
0,BTCUSDT,1h,2020-02-13T04:00:00+00:00,ROUNDING_TOP,DOWN,1.0,1.652,4.962,2.21,10.49,-0.008749,0.196,0.87,45,0.73,3,1,2020
0,BTCUSDT,1h,2020-02-19T20:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.053,10.822,1.68,7.65,-0.014943,0.191,0.856,30,0.73,1,1,2020
0,BTCUSDT,1h,2020-02-23T09:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,8.072,2.039,2.0,5.89,0.00792,0.642,0.83,45,0.42,2,1,2020
0,BTCUSDT,1h,2020-02-28T02:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,4.733,0.199,1.83,10.14,0.003457,0.155,0.884,65,0.78,0,-1,2020
0,BTCUSDT,1h,2020-03-03T08:00:00+00:00,ROUNDING_TOP,DOWN,1.0,2.315,2.218,1.71,6.1,-0.015185,0.367,0.875,30,0.67,1,-1,2020
0,BTCUSDT,1h,2020-03-05T11:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,1.753,1.05,1.76,6.09,0.015629,0.425,0.897,30,0.37,2,-1,2020
