is_null,symbol,tf,arm,dir,kind,against,depth_pct,imp_atr_mag,imp_bars,corr_bars,converging,rr,outcome,R,reached_mm,reversed,fwd_signed,tb,tb_fade_R,htf_aligned,regime,year,vol_contr,arm_vol_z,atr_pct,run_before,range_pos,corr_piv,imp_eff,mtf_align,hour,dow
0,BTCUSDT,1h,2020-01-07T04:00:00+00:00,UP,CHANNEL,0,138.6,5.92,14,74,0,1.02,open,,0,0,0.02511,cont,-1.0,0,0,2020,0.537,1.539,1.294,3.17,0.767,10.0,0.556,2.0,4.0,1.0
0,BTCUSDT,1h,2020-01-07T22:00:00+00:00,UP,CHANNEL,0,390.5,4.34,10,60,0,0.04,win,0.03587585443620451,1,0,0.03261,cont,-1.0,0,0,2020,1.277,1.063,1.947,0.15,0.841,10.0,0.684,2.0,22.0,1.0
0,BTCUSDT,1h,2020-01-09T04:00:00+00:00,UP,CHANNEL,0,147.7,6.45,10,43,0,0.0,reversed,,0,1,-0.01021,none,0.0,0,0,2020,1.217,0.521,1.44,1.81,0.332,10.0,0.761,1.0,4.0,3.0
0,BTCUSDT,1h,2020-01-12T03:00:00+00:00,DOWN,RISING_WEDGE,1,125.6,4.14,5,73,1,3.79,open,,0,0,-0.00609,none,0.0,0,0,2020,0.416,0.339,0.879,2.41,0.683,10.0,0.611,1.0,3.0,6.0
0,BTCUSDT,1h,2020-01-16T14:00:00+00:00,UP,RISING_WEDGE,0,125.3,7.12,13,58,1,0.0,reversed,,0,1,0.01154,cont,-1.0,1,0,2020,1.701,0.508,1.026,0.2,0.472,10.0,0.709,2.0,14.0,3.0
0,BTCUSDT,1h,2020-01-17T07:00:00+00:00,UP,CHANNEL,0,123.9,4.51,13,62,0,1.78,open,,0,0,-0.00608,against,1.0,1,0,2020,0.722,1.021,0.892,5.93,0.854,10.0,0.562,3.0,7.0,4.0
0,BTCUSDT,1h,2020-01-21T20:00:00+00:00,DOWN,PENNANT,0,43.4,6.71,8,46,1,0.0,reversed,,0,1,-0.00244,none,0.0,0,0,2020,0.512,3.442,0.83,4.93,0.863,10.0,0.888,0.0,20.0,1.0
0,BTCUSDT,1h,2020-01-23T09:00:00+00:00,UP,FLAG,1,60.3,5.17,12,16,0,0.0,reversed,,0,1,-0.0054,against,1.0,1,0,2020,0.893,3.379,0.972,2.44,0.068,4.0,0.639,1.0,9.0,3.0
0,BTCUSDT,1h,2020-01-26T03:00:00+00:00,DOWN,FALLING_WEDGE,0,194.2,4.34,13,64,1,0.0,reversed,,0,1,-0.01603,against,1.0,1,0,2020,1.326,0.573,0.69,0.72,0.451,8.0,0.683,2.0,3.0,6.0
0,BTCUSDT,1h,2020-01-26T03:00:00+00:00,DOWN,PENNANT,0,91.2,4.1,10,50,1,0.0,reversed,,0,1,-0.0102,against,1.0,1,0,2020,0.524,0.573,0.69,2.83,0.451,6.0,0.735,2.0,3.0,6.0
0,BTCUSDT,1h,2020-01-31T02:00:00+00:00,UP,RISING_WEDGE,0,254.2,7.65,24,85,1,0.0,reversed,,0,1,-0.00026,against,1.0,1,1,2020,1.835,0.92,1.163,0.18,0.642,10.0,0.623,3.0,2.0,4.0
0,BTCUSDT,1h,2020-02-01T09:00:00+00:00,UP,RISING_WEDGE,0,113.4,7.8,17,93,1,0.0,reversed,,0,1,-0.01279,against,1.0,1,1,2020,0.811,0.702,0.699,3.01,0.483,10.0,0.679,2.0,9.0,5.0
0,BTCUSDT,1h,2020-02-02T22:00:00+00:00,UP,CHANNEL,0,80.0,6.1,17,97,0,1.95,loss,-1.0,0,0,-0.01173,against,1.0,1,1,2020,0.728,1.054,0.692,0.19,0.728,10.0,0.568,1.0,22.0,6.0
0,BTCUSDT,1h,2020-02-03T01:00:00+00:00,DOWN,CHANNEL,0,97.0,5.23,16,46,0,2.0,open,,0,0,0.02286,cont,-1.0,0,1,2020,0.818,3.794,1.04,3.16,0.783,6.0,0.777,0.0,1.0,0.0
0,BTCUSDT,1h,2020-02-04T05:00:00+00:00,UP,FALLING_WEDGE,1,107.8,5.4,8,24,1,7.82,loss,-1.0,0,0,-0.01415,against,1.0,1,1,2020,0.829,1.333,0.87,1.02,0.34,4.0,0.647,1.0,5.0,1.0
0,BTCUSDT,1h,2020-02-08T22:00:00+00:00,UP,RISING_WEDGE,0,63.5,9.19,29,69,1,4.88,loss,-1.0,0,0,0.01439,cont,-1.0,1,1,2020,0.859,0.939,0.844,1.84,0.905,10.0,0.61,3.0,22.0,5.0
0,BTCUSDT,1h,2020-02-12T08:00:00+00:00,UP,CHANNEL,0,274.8,5.26,18,80,0,0.58,open,,0,0,0.01102,cont,-1.0,1,1,2020,1.252,1.955,1.125,1.71,0.79,10.0,0.598,3.0,8.0,2.0
0,BTCUSDT,1h,2020-02-11T02:00:00+00:00,DOWN,CHANNEL,0,74.3,6.37,5,19,0,0.0,reversed,,0,1,0.00203,none,0.0,0,1,2020,1.025,0.578,1.001,1.96,0.122,4.0,1.0,2.0,2.0,1.0
0,BTCUSDT,1h,2020-02-15T01:00:00+00:00,UP,CHANNEL,0,64.3,3.63,2,31,0,0.0,reversed,,0,1,0.00272,none,0.0,1,1,2020,0.351,0.835,0.778,1.79,0.392,6.0,0.665,2.0,1.0,5.0
0,BTCUSDT,1h,2020-02-19T11:00:00+00:00,DOWN,RISING_WEDGE,0,137.3,8.02,18,88,1,0.0,reversed,,0,1,0.05339,cont,-1.0,1,1,2020,1.459,0.143,0.833,1.57,0.873,10.0,0.603,1.0,11.0,2.0
0,BTCUSDT,1h,2020-02-18T14:00:00+00:00,DOWN,PENNANT,0,132.1,5.0,13,38,1,0.0,reversed,,0,1,-0.04672,against,1.0,0,1,2020,1.082,0.72,0.913,2.14,0.449,4.0,0.618,2.0,14.0,1.0
0,BTCUSDT,1h,2020-02-22T12:00:00+00:00,DOWN,RISING_WEDGE,1,39.5,7.05,4,56,1,10.09,loss,-1.0,0,0,0.00064,none,0.0,1,1,2020,0.414,0.816,0.556,3.31,0.7,10.0,0.847,1.0,12.0,5.0
0,BTCUSDT,1h,2020-02-28T00:00:00+00:00,DOWN,CHANNEL,0,336.5,5.48,2,82,0,0.0,reversed,,0,1,-0.0014,none,0.0,1,-1,2020,0.81,0.684,1.113,1.85,0.363,10.0,1.0,3.0,0.0,4.0
0,BTCUSDT,1h,2020-02-28T13:00:00+00:00,DOWN,CHANNEL,0,332.5,4.72,6,85,0,0.0,reversed,,0,1,0.00961,cont,-1.0,1,-1,2020,0.97,1.738,0.994,0.91,0.251,10.0,1.0,3.0,13.0,4.0
0,BTCUSDT,1h,2020-03-01T22:00:00+00:00,DOWN,CHANNEL,0,85.3,5.31,11,51,0,0.0,reversed,,0,1,-0.0158,against,1.0,1,-1,2020,0.692,0.722,0.951,1.23,0.389,8.0,1.0,3.0,22.0,6.0
0,BTCUSDT,1h,2020-03-07T13:00:00+00:00,UP,PENNANT,0,38.7,6.99,21,45,1,0.0,reversed,,0,1,-0.0387,cont,-1.0,1,-1,2020,0.768,0.752,0.625,0.3,0.554,8.0,0.563,2.0,13.0,5.0
0,BTCUSDT,1h,2020-03-11T19:00:00+00:00,DOWN,PENNANT,0,77.5,11.72,28,73,1,0.0,reversed,,0,1,0.38683,against,1.0,1,-1,2020,1.368,1.177,0.963,0.78,0.426,10.0,0.727,2.0,19.0,2.0
0,BTCUSDT,1h,2020-03-13T21:00:00+00:00,DOWN,CHANNEL,0,1010.9,4.46,3,69,0,0.0,reversed,,0,1,0.00883,none,0.0,1,-1,2020,1.655,0.651,1.81,4.49,0.409,10.0,0.586,2.0,21.0,4.0
0,BTCUSDT,1h,2020-03-15T21:00:00+00:00,DOWN,PENNANT,0,110.4,9.72,12,81,1,0.0,badrisk,,0,0,0.18347,cont,-1.0,1,-1,2020,1.504,3.985,0.628,0.54,0.966,10.0,0.96,2.0,21.0,6.0
0,BTCUSDT,1h,2020-03-19T07:00:00+00:00,DOWN,RISING_WEDGE,1,68.4,7.55,14,63,1,0.0,reversed,,0,1,-0.152,against,1.0,1,-1,2020,0.578,0.799,0.556,4.59,0.785,8.0,0.673,1.0,7.0,3.0
0,BTCUSDT,1h,2020-03-22T18:00:00+00:00,UP,PENNANT,1,107.2,6.29,19,60,1,0.0,reversed,,0,1,0.04958,against,1.0,1,-1,2020,0.726,1.351,0.876,1.28,0.322,10.0,0.665,1.0,18.0,6.0
0,BTCUSDT,1h,2020-03-23T03:00:00+00:00,DOWN,CHANNEL,0,62.5,5.06,10,46,0,0.0,reversed,,0,1,-0.05571,against,1.0,0,-1,2020,0.438,0.765,0.96,6.47,0.348,10.0,0.861,2.0,3.0,0.0
0,BTCUSDT,1h,2020-03-23T12:00:00+00:00,DOWN,FALLING_WEDGE,0,93.0,4.19,6,20,1,0.0,reversed,,0,1,0.01036,against,1.0,0,-1,2020,1.254,5.353,0.899,2.48,0.827,6.0,0.688,0.0,12.0,0.0
0,BTCUSDT,1h,2020-03-25T14:00:00+00:00,UP,CHANNEL,0,92.0,5.24,4,46,0,0.0,reversed,,0,1,0.00312,none,0.0,1,-1,2020,0.472,1.119,1.018,1.99,0.705,10.0,0.813,3.0,14.0,2.0
0,BTCUSDT,1h,2020-03-28T19:00:00+00:00,DOWN,CHANNEL,0,161.2,3.69,2,77,0,0.93,open,,0,0,-0.00123,none,0.0,0,-1,2020,0.283,0.687,0.899,1.57,0.228,10.0,1.0,2.0,19.0,5.0
0,BTCUSDT,1h,2020-03-31T13:00:00+00:00,DOWN,RISING_WEDGE,0,312.9,3.77,13,87,1,0.0,reversed,,0,1,0.01567,cont,-1.0,0,-1,2020,1.058,0.99,0.989,1.66,0.756,10.0,0.657,1.0,13.0,1.0
0,BTCUSDT,1h,2020-04-01T03:00:00+00:00,DOWN,FLAG,1,117.4,6.82,6,85,0,3.22,loss,-1.0,0,0,0.01078,cont,-1.0,0,-1,2020,0.592,0.735,0.777,2.27,0.673,10.0,1.0,1.0,3.0,2.0
0,BTCUSDT,1h,2020-04-03T12:00:00+00:00,UP,CHANNEL,0,141.4,8.43,22,70,0,0.0,reversed,,0,1,-0.00638,against,1.0,0,-1,2020,0.926,1.607,1.095,4.12,0.732,10.0,0.617,2.0,12.0,4.0
0,BTCUSDT,1h,2020-04-07T02:00:00+00:00,UP,CHANNEL,0,152.0,5.97,8,119,0,1.22,open,,0,0,0.01499,none,0.0,1,-1,2020,0.669,1.426,1.095,4.79,0.816,10.0,0.869,3.0,2.0,1.0
0,BTCUSDT,1h,2020-04-07T14:00:00+00:00,UP,CHANNEL,0,132.5,6.65,16,112,0,0.0,reversed,,0,1,0.00472,against,1.0,1,-1,2020,0.691,1.393,0.988,2.53,0.774,10.0,0.793,3.0,14.0,1.0
0,BTCUSDT,1h,2020-04-05T18:00:00+00:00,DOWN,PENNANT,0,81.5,4.08,3,55,1,0.0,reversed,,0,1,0.00517,none,0.0,0,-1,2020,0.224,0.695,0.633,7.51,0.492,6.0,0.922,0.0,18.0,6.0
0,BTCUSDT,1h,2020-04-05T18:00:00+00:00,DOWN,FLAG,1,73.0,3.95,6,30,0,0.0,timeout,,0,0,-0.0107,none,0.0,0,-1,2020,0.377,0.695,0.633,2.66,0.492,4.0,0.767,0.0,18.0,6.0
0,BTCUSDT,1h,2020-04-14T10:00:00+00:00,DOWN,CHANNEL,0,98.7,6.61,25,85,0,0.0,reversed,,0,1,0.00596,against,1.0,0,1,2020,0.76,0.797,0.922,0.05,0.413,10.0,0.697,2.0,10.0,1.0
0,BTCUSDT,1h,2020-04-16T22:00:00+00:00,DOWN,CHANNEL,0,112.8,5.56,7,71,0,0.0,timeout,,0,0,0.01202,none,0.0,1,1,2020,0.588,1.698,1.216,3.81,0.977,10.0,0.86,1.0,22.0,3.0
0,BTCUSDT,1h,2020-04-15T08:00:00+00:00,UP,PENNANT,0,70.3,4.89,15,20,1,0.0,reversed,,0,1,-0.03336,against,1.0,0,1,2020,0.82,0.69,0.814,5.18,0.658,4.0,0.688,1.0,8.0,2.0
0,BTCUSDT,1h,2020-04-19T23:00:00+00:00,UP,RISING_WEDGE,0,55.7,6.96,8,83,1,0.0,reversed,,0,1,0.00902,cont,-1.0,0,1,2020,0.375,1.305,0.721,5.13,0.382,10.0,0.889,2.0,23.0,6.0
0,BTCUSDT,1h,2020-04-20T09:00:00+00:00,UP,FLAG,1,93.3,5.63,14,36,0,0.0,reversed,,0,1,-0.04474,against,1.0,0,1,2020,0.931,0.854,0.756,0.37,0.387,6.0,0.687,1.0,9.0,0.0
0,BTCUSDT,1h,2020-04-25T16:00:00+00:00,UP,PENNANT,0,196.7,6.67,25,55,1,0.0,reversed,,0,1,0.0044,cont,-1.0,1,1,2020,1.297,1.202,1.045,0.4,0.698,10.0,0.638,2.0,16.0,5.0
0,BTCUSDT,1h,2020-04-26T06:00:00+00:00,UP,RISING_WEDGE,0,44.2,7.8,8,48,1,6.58,loss,-1.0,0,0,0.01153,cont,-1.0,1,1,2020,0.343,0.413,0.521,2.16,0.512,10.0,0.88,3.0,6.0,6.0
0,BTCUSDT,1h,2020-04-28T01:00:00+00:00,UP,CHANNEL,0,193.6,3.74,5,64,0,0.03,win,0.031411931200929395,1,0,0.00266,none,0.0,1,1,2020,1.319,0.921,0.882,1.26,0.673,10.0,0.727,3.0,1.0,1.0
