year,dir,net,sym,chain
2020,1,1.8674521105735795,BTCUSDT,break
2020,1,-1.05381953638217,BTCUSDT,break
2020,1,-1.180192432465841,BTCUSDT,break
2020,1,1.871942628504709,BTCUSDT,break
2020,1,1.8683824721175133,BTCUSDT,break
2020,-1,-1.0855775953453632,BTCUSDT,break
2020,1,1.8893774159778758,BTCUSDT,break
2020,1,1.8223174171158136,BTCUSDT,break
2020,1,1.7664659822214706,BTCUSDT,break
2020,1,1.8528301141243106,BTCUSDT,break
2020,-1,-1.0889885217945119,BTCUSDT,break
2020,-1,-1.1525973055359906,BTCUSDT,break
2020,1,-1.096633622950287,BTCUSDT,break
2020,-1,1.945982721632638,BTCUSDT,break
2020,1,-1.2488202102952592,BTCUSDT,break
2020,1,1.8625674805107715,BTCUSDT,break
2020,1,-1.153738606220336,BTCUSDT,break
2020,-1,-1.0230590276941156,BTCUSDT,break
2020,1,0.6790308012489583,BTCUSDT,break
2020,1,-1.058782759245518,BTCUSDT,break
2020,1,1.9054043024126408,BTCUSDT,break
2020,1,-1.102531028595817,BTCUSDT,break
2020,-1,-1.0983268942063076,BTCUSDT,break
2020,1,-1.1127508495274734,BTCUSDT,break
2020,1,1.8530500743668337,BTCUSDT,break
2020,1,1.8633673445683103,BTCUSDT,break
2020,1,1.8168856336497325,BTCUSDT,break
2020,1,1.848836472512284,BTCUSDT,break
2020,1,-1.068205583333217,BTCUSDT,break
2020,1,1.9616124705271636,BTCUSDT,break
2020,1,-1.0486006727173498,BTCUSDT,break
2020,1,1.9309411614190637,BTCUSDT,break
2020,1,-1.1027468318792988,BTCUSDT,break
2020,1,-1.0831062461627843,BTCUSDT,break
2020,-1,1.798213986988168,BTCUSDT,break
2020,-1,1.9216020147289992,BTCUSDT,break
2020,-1,-1.1538949897327042,BTCUSDT,break
2020,-1,-1.101669270868979,BTCUSDT,break
2020,1,-1.2060664301530453,BTCUSDT,break
2020,1,0.8243002820179971,BTCUSDT,break
2020,1,-1.225378397797747,BTCUSDT,break
2020,-1,-1.095989359501078,BTCUSDT,break
2020,1,-1.1476371262168008,BTCUSDT,break
2020,1,-1.2678077758298987,BTCUSDT,break
2020,-1,-1.2157732335029618,BTCUSDT,break
2020,-1,-1.1110416865401125,BTCUSDT,break
2020,1,-1.4562828414416618,BTCUSDT,break
2020,-1,-1.245107489259343,BTCUSDT,break
2020,1,1.8143219520051534,BTCUSDT,break
2020,1,-1.2723609016752,BTCUSDT,break
2020,-1,-1.1896591518184931,BTCUSDT,break
2020,-1,-1.599892639128,BTCUSDT,break
2020,-1,-1.6350121717462023,BTCUSDT,break
2020,1,1.7256614789306677,BTCUSDT,break
2020,1,1.896488268632377,BTCUSDT,break
2020,1,-1.0506726896547829,BTCUSDT,break
2020,1,-1.059103350040394,BTCUSDT,break
2020,-1,-1.159709432297184,BTCUSDT,break
2020,1,1.7819289507367548,BTCUSDT,break
2020,1,-1.1045419689002043,BTCUSDT,break
2020,-1,-1.2343291079932976,BTCUSDT,break
2020,-1,-1.334717221856756,BTCUSDT,break
2020,-1,-1.153569556264687,BTCUSDT,break
2020,1,1.6939791984721229,BTCUSDT,break
2020,1,-1.0662161395424874,BTCUSDT,break
2020,1,-1.2256623446966215,BTCUSDT,break
2020,1,-1.291736350982688,BTCUSDT,break
2020,1,-1.207989662638499,BTCUSDT,break
2020,-1,-1.1472472463556693,BTCUSDT,break
2020,1,1.7835832658892714,BTCUSDT,break
2020,1,-1.4329996735675397,BTCUSDT,break
2020,-1,-1.3342685291036538,BTCUSDT,break
2020,1,-1.3225769925664468,BTCUSDT,break
2020,-1,-1.4137144272459687,BTCUSDT,break
2020,-1,1.6284081520543225,BTCUSDT,break
2020,-1,-1.3078753699991081,BTCUSDT,break
2020,1,-1.1826614340150463,BTCUSDT,break
2020,1,-1.1223843407189473,BTCUSDT,break
2020,1,1.929968189654105,BTCUSDT,break
2020,1,-1.1885141088295048,BTCUSDT,break
2020,1,1.8077715046231442,BTCUSDT,break
2020,1,1.9271086735816982,BTCUSDT,break
2020,1,-1.1099737468280817,BTCUSDT,break
2020,1,-1.0929066525325275,BTCUSDT,break
2020,1,1.8589512861443522,BTCUSDT,break
2020,-1,-1.1815505210752002,BTCUSDT,break
2020,-1,-1.0946844916605316,BTCUSDT,break
2020,-1,-1.1884490505417813,BTCUSDT,break
2020,1,1.886166424323689,BTCUSDT,break
2020,-1,-1.0474917951129112,BTCUSDT,break
2020,1,1.9154693297027636,BTCUSDT,break
2020,1,-1.0381907383305857,BTCUSDT,break
2021,1,1.8743715576971702,BTCUSDT,break
2021,1,1.926986340654233,BTCUSDT,break
2021,1,-1.0456848772148841,BTCUSDT,break
2021,1,1.9503655172018652,BTCUSDT,break
2021,1,-1.032533550689617,BTCUSDT,break
2021,1,-1.0358795699335284,BTCUSDT,break
2021,1,-1.0681334267834999,BTCUSDT,break
2021,1,-1.0712416655543386,BTCUSDT,break
2021,-1,1.9492062974630227,BTCUSDT,break
2021,-1,1.9149907729578646,BTCUSDT,break
2021,1,-1.1431511419621954,BTCUSDT,break
2021,-1,-1.0399936987769391,BTCUSDT,break
2021,1,-1.0356363508124717,BTCUSDT,break
2021,1,-1.0605025658090548,BTCUSDT,break
2021,1,-1.0927147421489682,BTCUSDT,break
2021,1,1.9026458910495345,BTCUSDT,break
2021,1,-1.0877182751602168,BTCUSDT,break
2021,-1,1.9495127800782024,BTCUSDT,break
2021,-1,-1.0395995352078429,BTCUSDT,break
2021,-1,-1.0718602566931899,BTCUSDT,break
2021,-1,-1.0974776713591665,BTCUSDT,break
2021,1,1.907834385955011,BTCUSDT,break
2021,1,1.8680359125559847,BTCUSDT,break
2021,1,-1.0930211781001928,BTCUSDT,break
2021,1,-1.1153055006611015,BTCUSDT,break
2021,1,1.941425905883049,BTCUSDT,break
2021,1,-1.1090064359514151,BTCUSDT,break
2021,1,-1.0874473322291984,BTCUSDT,break
2021,1,-1.082513746172651,BTCUSDT,break
2021,-1,-1.1014696113633338,BTCUSDT,break
2021,-1,-1.1121230205622747,BTCUSDT,break
2021,-1,-1.0695697273577014,BTCUSDT,break
2021,-1,-1.0609034843956633,BTCUSDT,break
2021,1,-1.1867840947204344,BTCUSDT,break
2021,1,-1.0965681337695723,BTCUSDT,break
2021,-1,-1.108310035442676,BTCUSDT,break
2021,-1,-1.1765283652643581,BTCUSDT,break
2021,1,1.9255822339299926,BTCUSDT,break
2021,1,-1.11353631485876,BTCUSDT,break
2021,-1,-1.182226888683903,BTCUSDT,break
2021,-1,-1.1081776778109815,BTCUSDT,break
2021,1,-1.1189733976352274,BTCUSDT,break
2021,1,-1.1247097838339486,BTCUSDT,break
2021,-1,1.9006339679543702,BTCUSDT,break
2021,-1,1.8436129368372962,BTCUSDT,break
2021,1,-1.1272451705087683,BTCUSDT,break
2021,1,-1.1195209418808187,BTCUSDT,break
2021,-1,-1.0980971658813599,BTCUSDT,break
2021,-1,-1.1475204709488946,BTCUSDT,break
2021,-1,1.8854976587189543,BTCUSDT,break
2021,-1,-1.030381142311657,BTCUSDT,break
2021,1,-1.0396571373435841,BTCUSDT,break
2021,1,1.9250810143303771,BTCUSDT,break
2021,1,-1.0657888488796636,BTCUSDT,break
2021,1,1.9464614327527152,BTCUSDT,break
2021,-1,-1.0366933348346827,BTCUSDT,break
2021,1,-1.1208283108196644,BTCUSDT,break
2021,1,-1.0611768638074157,BTCUSDT,break
2021,-1,-1.0961120664998003,BTCUSDT,break
2021,-1,-1.1094283437455719,BTCUSDT,break
2021,1,-1.081184430738208,BTCUSDT,break
2021,1,-1.0911838631223039,BTCUSDT,break
2021,-1,-1.0884163620839356,BTCUSDT,break
2021,-1,1.9602718473743088,BTCUSDT,break
2021,1,-1.0441991680163878,BTCUSDT,break
2021,-1,-1.1458807805447109,BTCUSDT,break
2021,1,-1.1784297342498902,BTCUSDT,break
2021,-1,1.862494609228428,BTCUSDT,break
2021,-1,1.9092600621635918,BTCUSDT,break
2021,-1,1.780659847993816,BTCUSDT,break
2021,-1,1.8343958966285563,BTCUSDT,break
2021,-1,-1.1442211273371292,BTCUSDT,break
2021,-1,-1.136269349064088,BTCUSDT,break
2021,1,-1.0983177441002563,BTCUSDT,break
2021,1,-1.0633527249938701,BTCUSDT,break
2021,-1,-1.073243716581474,BTCUSDT,break
2021,1,1.9030178437944594,BTCUSDT,break
2021,1,-1.0767653566095212,BTCUSDT,break
2021,-1,-1.198187528286472,BTCUSDT,break
2021,1,-1.0851481960310156,BTCUSDT,break
2021,-1,-1.0762857299427506,BTCUSDT,break
2021,-1,-1.1952214760377646,BTCUSDT,break
2021,1,1.8986921802760162,BTCUSDT,break
2021,-1,-1.1117087841961064,BTCUSDT,break
2021,-1,-1.1753617240242957,BTCUSDT,break
2021,1,-1.1225932672509027,BTCUSDT,break
2021,1,-1.0983592196371328,BTCUSDT,break
2021,1,1.8519805322072156,BTCUSDT,break
2021,1,-1.2406403626908569,BTCUSDT,break
2021,1,1.9002882261800162,BTCUSDT,break
2021,1,1.8678831607726512,BTCUSDT,break
