net_R,gross_R,outcome,bars,net_pct,risk_pct,sym,tf,year,dir,kind
1.8901632202580962,1.9999999999999962,win,2,0.024522592479468752,0.0129737962397344,BTCUSDT,1h,2020,-1,ROUNDING_BOTTOM
-1.1796058724569607,-0.9999999999999962,loss,22,-0.011000975688246735,0.00932597568824677,BTCUSDT,1h,2020,-1,ROUNDING_BOTTOM
1.8363974511449335,2.0000000000000036,win,34,0.020485165859539363,0.01115508292976966,BTCUSDT,1h,2020,-1,ROUNDING_BOTTOM
1.8764720023801118,2.0000000000000027,win,7,0.022596109038611596,0.01204180451930578,BTCUSDT,1h,2020,1,ROUNDING_TOP
1.9174492993136363,2.0000000000000027,win,12,0.03600267943488189,0.01877633971744092,BTCUSDT,1h,2021,-1,ROUNDING_BOTTOM
1.8966755201480343,2.000000000000003,win,9,0.027764201942597405,0.014638350971298678,BTCUSDT,1h,2021,1,ROUNDING_TOP
-1.1583758868630532,-1.0000000000000018,loss,6,-0.01078828644287526,0.009313286442875244,BTCUSDT,1h,2021,1,ROUNDING_TOP
1.868215335712058,2.000000000000003,win,0,0.019846781749066754,0.01062339087453336,BTCUSDT,1h,2021,1,ROUNDING_TOP
-1.1091299082491815,-1.000000000000001,loss,0,-0.014228747155209994,0.01282874715520998,BTCUSDT,1h,2021,-1,ROUNDING_BOTTOM
1.9118598583764492,2.000000000000001,win,22,0.036332653928080896,0.019003826964040436,BTCUSDT,1h,2021,-1,ROUNDING_BOTTOM
-1.1124102835081455,-1.0000000000000024,loss,5,-0.014472875513322688,0.013010375513322655,BTCUSDT,1h,2021,-1,ROUNDING_BOTTOM
1.8621537888829836,2.0000000000000084,win,1,0.01908135309257224,0.010246926546286075,BTCUSDT,1h,2022,1,ROUNDING_TOP
1.8563475550061044,2.000000000000002,win,5,0.018899144384989443,0.01018082219249471,BTCUSDT,1h,2022,-1,ROUNDING_BOTTOM
-1.1680209062129498,-0.9999999999999986,loss,1,-0.009819191951832363,0.008406691951832374,BTCUSDT,1h,2022,-1,ROUNDING_BOTTOM
-1.1201937935210382,-0.9999999999999967,loss,0,-0.01304785600809668,0.011647856008096718,BTCUSDT,1h,2022,-1,ROUNDING_BOTTOM
-1.224438902439982,-1.0000000000000084,loss,13,-0.008524305564959514,0.006961805564959456,BTCUSDT,1h,2022,-1,ROUNDING_BOTTOM
-1.1339867982875345,-0.9999999999999946,loss,19,-0.013858853304419338,0.012221353304419404,BTCUSDT,1h,2022,-1,ROUNDING_BOTTOM
1.8707922577701046,1.9999999999999958,win,6,0.021356449177025626,0.011415724588512836,BTCUSDT,1h,2022,-1,ROUNDING_BOTTOM
1.831974926106793,1.9999999999999905,win,1,0.015400466865859871,0.008406483432929976,BTCUSDT,1h,2022,-1,ROUNDING_BOTTOM
1.8490375198816034,2.0,win,29,0.021587672819335095,0.011675086409667548,BTCUSDT,1h,2022,1,ROUNDING_TOP
1.8863555638244975,2.000000000000003,win,4,0.02406818723022587,0.012759093615112916,BTCUSDT,1h,2022,-1,ROUNDING_BOTTOM
-1.0803608834596556,-1.0000000000000007,loss,3,-0.01932555620487845,0.017888056204878443,BTCUSDT,1h,2022,-1,ROUNDING_BOTTOM
-1.2402584387706583,-0.9999999999999938,loss,6,-0.007614222445409851,0.006139222445409888,BTCUSDT,1h,2022,1,ROUNDING_TOP
1.725743020513411,2.0000000000000053,win,4,0.00912402442566374,0.005287012212831856,BTCUSDT,1h,2022,1,ROUNDING_TOP
-1.3383312298689907,-1.0000000000000078,loss,23,-0.006675215738371208,0.004987715738371169,BTCUSDT,1h,2022,-1,ROUNDING_BOTTOM
1.8570112580800386,2.000000000000005,win,3,0.018668978044328825,0.010053239022164387,BTCUSDT,1h,2023,1,ROUNDING_TOP
1.8714847890748303,2.0000000000000044,win,20,0.024027894283824302,0.01283894714191212,BTCUSDT,1h,2023,1,ROUNDING_TOP
1.9270153693932282,1.9999999999999971,win,15,0.041914809645251835,0.021751154822625948,BTCUSDT,1h,2023,1,ROUNDING_TOP
-1.076336995270061,-0.9999999999999991,loss,3,-0.02026847435148535,0.01883097435148537,BTCUSDT,1h,2023,1,ROUNDING_TOP
1.792124331769266,2.0,win,7,0.01282393926232803,0.007155719631164016,BTCUSDT,1h,2023,1,ROUNDING_TOP
1.432484868634224,2.0000000000000067,win,2,0.0035968925319950426,0.002510946265997513,BTCUSDT,1h,2023,-1,ROUNDING_BOTTOM
-1.4613431341866054,-1.0000000000000087,loss,4,-0.0045929968120291525,0.003142996812029126,BTCUSDT,1h,2023,-1,ROUNDING_BOTTOM
-1.24761401800493,-1.0,loss,18,-0.008187633299572103,0.006562633299572103,BTCUSDT,1h,2023,-1,ROUNDING_BOTTOM
-1.4326182167930592,-0.9999999999999882,loss,5,-0.004843078864295774,0.0033805788642958133,BTCUSDT,1h,2023,-1,ROUNDING_BOTTOM
-1.1287898085679173,-1.000000000000007,loss,21,-0.014571130104247623,0.01290863010424753,BTCUSDT,1h,2023,1,ROUNDING_TOP
1.8234096250277334,2.0,win,3,0.014843115523079977,0.008140307761539988,BTCUSDT,1h,2023,1,ROUNDING_TOP
1.8773415504078805,1.9999999999999936,win,4,0.022192888114464338,0.011821444057232207,BTCUSDT,1h,2024,1,ROUNDING_TOP
-1.1933052117974177,-1.000000000000002,loss,29,-0.010880205537329789,0.00911770553732977,BTCUSDT,1h,2024,1,ROUNDING_TOP
1.8619945259484312,2.0000000000000044,win,2,0.01922635473492122,0.010325677367460586,BTCUSDT,1h,2024,-1,ROUNDING_BOTTOM
1.8122462017723775,1.9999999999999964,win,9,0.01459902492549154,0.008055762462745784,BTCUSDT,1h,2024,1,ROUNDING_TOP
-1.136246303171169,-0.9999999999999988,loss,11,-0.012822209854243842,0.011284709854243855,BTCUSDT,1h,2024,-1,ROUNDING_BOTTOM
