sym,tf,year,fade,mtf_f,zscore,nblock,ntot,R
BTCUSDT,1h,2020,UP,1,36.075,6,9,1.833552543906103
BTCUSDT,1h,2020,DOWN,2,18.958,2,5,1.8901632202580962
BTCUSDT,1h,2020,UP,1,26.478,2,5,-1.1012419339705528
BTCUSDT,1h,2020,DOWN,2,4.38,0,2,-1.1796058724569607
BTCUSDT,1h,2020,UP,1,18.482,3,5,1.8525448229996564
BTCUSDT,1h,2020,DOWN,2,10.26,0,4,1.8363974511449335
BTCUSDT,1h,2020,DOWN,1,24.049,3,8,-1.1371287540910044
BTCUSDT,1h,2020,DOWN,1,16.131,2,5,-1.0795281956810956
BTCUSDT,1h,2020,UP,2,12.862,1,6,1.8764720023801118
BTCUSDT,1h,2021,UP,1,13.296,1,3,1.945708838265466
BTCUSDT,1h,2021,DOWN,1,29.711,3,4,-1.070912445776153
BTCUSDT,1h,2021,UP,1,15.189,1,4,1.8982957918385353
BTCUSDT,1h,2021,DOWN,3,12.546,4,4,1.9174492993136363
BTCUSDT,1h,2021,DOWN,1,49.149,5,8,-1.0478124860221292
BTCUSDT,1h,2021,DOWN,1,30.261,3,5,-1.0604192572264302
BTCUSDT,1h,2021,DOWN,1,32.986,3,9,-1.155496479112008
BTCUSDT,1h,2021,UP,2,13.037,2,5,1.8966755201480343
BTCUSDT,1h,2021,UP,3,20.067,3,8,-1.1583758868630532
BTCUSDT,1h,2021,UP,2,32.678,2,9,1.868215335712058
BTCUSDT,1h,2021,UP,0,43.129,2,11,1.895656509578265
BTCUSDT,1h,2021,DOWN,2,9.592,1,4,-1.1091299082491815
BTCUSDT,1h,2021,DOWN,2,8.282,0,3,1.9118598583764492
BTCUSDT,1h,2021,DOWN,3,29.534,4,6,-1.1124102835081455
BTCUSDT,1h,2021,UP,1,31.075,3,7,1.8706674118264068
BTCUSDT,1h,2022,UP,3,24.469,2,8,1.8621537888829836
BTCUSDT,1h,2022,DOWN,2,33.894,4,10,1.8563475550061044
BTCUSDT,1h,2022,UP,0,26.755,3,7,-1.1067456504754132
BTCUSDT,1h,2022,DOWN,1,14.653,1,5,1.8332785311353743
BTCUSDT,1h,2022,UP,1,34.105,6,11,-1.0793915129762561
BTCUSDT,1h,2022,DOWN,2,20.869,2,7,-1.1680209062129498
BTCUSDT,1h,2022,DOWN,2,20.806,2,8,-1.1201937935210382
BTCUSDT,1h,2022,UP,0,43.825,5,13,1.8387592838628761
BTCUSDT,1h,2022,DOWN,3,39.091,2,9,-1.224438902439982
BTCUSDT,1h,2022,UP,0,70.106,7,15,-1.0940511144341512
BTCUSDT,1h,2022,DOWN,2,12.255,2,4,-1.1339867982875345
BTCUSDT,1h,2022,DOWN,1,0.96,0,1,-1.1238805671889245
BTCUSDT,1h,2022,DOWN,2,9.215,1,3,1.8707922577701046
BTCUSDT,1h,2022,DOWN,3,16.872,1,5,1.831974926106793
BTCUSDT,1h,2022,UP,3,14.824,3,6,1.8490375198816034
BTCUSDT,1h,2022,DOWN,2,6.529,0,3,1.8863555638244975
BTCUSDT,1h,2022,DOWN,2,12.3,2,4,-1.0803608834596556
BTCUSDT,1h,2022,DOWN,1,49.631,5,13,-1.2199129853921042
BTCUSDT,1h,2022,UP,1,39.447,3,7,-1.1475605072322428
BTCUSDT,1h,2022,UP,1,26.398,4,7,-1.2695756183922373
BTCUSDT,1h,2022,UP,2,50.673,4,11,-1.2402584387706583
BTCUSDT,1h,2022,UP,3,13.088,1,5,1.725743020513411
BTCUSDT,1h,2022,DOWN,2,11.005,1,4,-1.3383312298689907
BTCUSDT,1h,2023,UP,2,9.45,2,5,1.8570112580800386
BTCUSDT,1h,2023,UP,2,14.262,0,3,1.8714847890748303
BTCUSDT,1h,2023,DOWN,1,25.801,3,7,-1.2799431551546994
