signal_time,direction,htf,ltf,outcome,R,exit_reason,hold_h,max_R
2020-05-01 12:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-01 15:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-04 00:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-05 09:45:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-06 23:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-09 20:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-10 14:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-11 03:00:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-11 03:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-12 19:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-14 05:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-14 18:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-15 05:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-15 21:15:00+00:00,LONG,1h,15m,win,0.34517058691563907,score_exit,1.3,0.37250591057345855
2020-05-16 00:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-16 07:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-17 00:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-17 21:45:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-18 18:40:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-19 22:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-23 00:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,1.7833333333333334,0.28635586820874254
2020-05-23 04:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-24 13:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-26 07:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,0.05,0.4379579695774641
2020-05-26 15:15:00+00:00,SHORT,1h,15m,loss,-1.0,sl_hit,4.2,0.2834881489973871
2020-05-28 08:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-05-28 11:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-01 12:15:00+00:00,LONG,1h,15m,win,4.5,cap_hit,7.75,17.843679100224684
2020-06-02 14:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-02 20:45:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,0.6,0.7885409925830253
2020-06-04 06:30:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,0.36666666666666664,0.597371998187643
2020-06-04 11:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-04 18:45:00+00:00,SHORT,1h,15m,win,0.24857847330549007,score_exit,1.6833333333333333,0.926214797296172
2020-06-05 08:20:00+00:00,LONG,1h,20m,loss,-1.0,sl_hit,0.2,0.07834427593040932
2020-06-05 13:40:00+00:00,LONG,1h,20m,win,0.5744749059045974,score_exit,1.1,0.7395129596429083
2020-06-06 12:20:00+00:00,SHORT,1h,20m,loss,-1.0,sl_hit,2.1666666666666665,0.6895864248575669
2020-06-07 04:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-07 22:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,2.7333333333333334,1.4107405789362724
2020-06-08 09:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,2.4,0.516874348822652
2020-06-11 20:20:00+00:00,LONG,1h,20m,loss,-1.0,sl_hit,0.75,1.1323692444137752
2020-06-12 14:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-13 19:40:00+00:00,SHORT,1h,20m,loss,-1.0,sl_hit,2.8666666666666667,0.816822297249385
2020-06-14 12:15:00+00:00,SHORT,1h,15m,win,4.5,cap_hit,0.8833333333333333,5.143468534189229
2020-06-15 16:00:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-15 13:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-17 06:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-17 13:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-18 15:40:00+00:00,SHORT,1h,20m,win,4.5,cap_hit,4.2,4.829557796741514
2020-06-19 08:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-19 19:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-19 22:40:00+00:00,SHORT,1h,20m,loss,-1.0,sl_hit,3.1,1.4191877375114743
2020-06-21 06:15:00+00:00,SHORT,1h,15m,win,1.0720339824132499,score_exit,1.55,2.1403362512157043
2020-06-22 00:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-23 00:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-23 22:20:00+00:00,SHORT,1h,20m,loss,-1.0,sl_hit,1.7666666666666666,1.0589890934679924
2020-06-24 07:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-25 22:15:00+00:00,SHORT,1h,15m,loss,-0.326486187654394,score_exit,1.25,1.4096021284315052
2020-06-26 00:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,3.4,0.31706709945934775
2020-06-26 05:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-26 09:20:00+00:00,LONG,1h,20m,loss,-0.3833375855910294,score_exit,2.35,0.7298805000655167
2020-06-27 11:20:00+00:00,LONG,1h,20m,loss,-1.0,sl_hit,1.8,1.2437101391050591
2020-06-27 19:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-06-28 16:30:00+00:00,SHORT,1h,15m,win,0.12568851428780722,score_exit,1.05,0.4092270156370995
2020-06-30 01:30:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,1.8,0.24007627841618362
2020-06-30 09:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,0.3,0.0
2020-07-02 12:20:00+00:00,LONG,1h,20m,loss,-1.0,sl_hit,0.5166666666666667,0.4672669183851177
2020-07-02 20:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-03 02:30:00+00:00,SHORT,1h,15m,loss,-1.0,sl_hit,2.6333333333333333,1.8375744073520517
2020-07-05 09:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-05 19:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-05 21:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-10 04:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-12 13:15:00+00:00,SHORT,1h,15m,loss,-1.0,sl_hit,0.5166666666666667,0.15818779863416857
2020-07-14 11:15:00+00:00,LONG,1h,15m,win,0.1825296277883736,score_exit,1.85,0.37609249963916364
2020-07-14 14:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-15 22:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-16 00:30:00+00:00,LONG,1h,15m,win,0.007604772270180897,score_exit,1.25,0.2418097153721704
2020-07-17 11:40:00+00:00,LONG,1h,20m,win,0.6662714026482538,score_exit,35.68333333333333,3.0407301604412553
2020-07-18 08:40:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-18 19:40:00+00:00,SHORT,1h,20m,win,0.17834742296158126,score_exit,1.3333333333333333,0.6583037905645096
2020-07-19 06:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,0.5666666666666667,0.6472350230414983
2020-07-19 12:30:00+00:00,LONG,1h,15m,win,1.8399757539020354,score_exit,2.0,3.368237611759255
2020-07-21 19:15:00+00:00,SHORT,1h,15m,loss,-0.28956671359291547,score_exit,1.2333333333333334,1.1876740184576808
2020-07-23 02:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-23 12:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-23 15:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-23 21:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,2.683333333333333,0.9005339754998755
2020-07-27 16:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-28 02:00:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-28 07:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-28 19:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,0.05,0.4084239913818228
2020-07-31 14:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-31 19:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-07-31 22:45:00+00:00,SHORT,1h,15m,win,1.0065347897487542,score_exit,1.25,1.3928982712448768
2020-08-01 10:15:00+00:00,SHORT,1h,15m,win,2.8339336572290117,score_exit,1.9166666666666667,3.696934159825736
2020-08-01 19:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,8.366666666666667,3.6289936612899902
2020-08-02 04:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-08-03 00:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-08-04 08:45:00+00:00,SHORT,1h,15m,win,4.5,cap_hit,1.4833333333333334,6.697952068623764
2020-08-04 20:30:00+00:00,SHORT,1h,15m,win,4.5,cap_hit,1.9333333333333333,4.834801111176258
2020-08-09 18:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0
2020-08-10 16:15:00+00:00,SHORT,1h,15m,win,0.5404690104465417,score_exit,1.1333333333333333,0.7880800600578196
