signal_time,direction_x,htf,ltf,outcome,R,exit_reason,hold_h,max_R,tf,direction_y,side,distance_pct,age_bars,P_hit_D,P_hit_12h,n_train,bucket_used,direction,direction_model
2020-05-01 12:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
2020-05-01 15:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-05-04 00:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.12940788603135922,4,0.9058620424329061,0.879653750393412,190,full,SHORT,SHORT
2020-05-05 09:45:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-05-06 23:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-05-09 20:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-05-10 14:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-05-11 03:00:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,above,0.0,2,0.9636542695693303,0.9513886137212403,81,full,SHORT,SHORT
2020-05-11 03:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-05-12 19:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-05-14 05:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
